"correct_answer","Answer.time_in_minutes","utterance","correct_color","correct_material","workerid","rt","response","feature_type","feature","item","slide_number_in_experiment","object","label","speaker_cond"
"['yes']",6.82503333333333,"","['green']","['plastic']",0,NA,"[2972, 'yes']","['material']","['plastic']","['plate']","experimental_trial","","plate_plastic_green","list1"
"['no']",6.82503333333333,"","['blue']","['metal']",0,NA,"[2272, 'no']","['color']","['white']","['bowl']","experimental_trial","","bowl_metal_blue","list1"
"['no']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[2500, 'no']","['color']","['green']","['plate']","experimental_trial","","plate_plastic_original","list1"
"['no']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[1617, 'no']","['color']","['red']","['cup']","experimental_trial","","cup_plastic_blue","list1"
"['no']",6.82503333333333,"","['green']","['leather']",0,NA,"[2590, 'no']","['material']","['denim']","['jacket']","experimental_trial","","jacket_leather_green","list1"
"['yes']",6.82503333333333,"","['brown']","['rubber']",0,NA,"[2505, 'yes']","['color']","['brown']","['boot']","experimental_trial","","boot_rubber_brown","list1"
"['no']",6.82503333333333,"","['clear']","['glass']",0,NA,"[2400, 'no']","['material']","['metal']","['bowl']","experimental_trial","","bowl_glass_original","list1"
"['no']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[2482, 'no']","['material']","['glass']","['bag']","experimental_trial","","bag_plastic_blue","list1"
"['yes']",6.82503333333333,"","['green']","['rubber']",0,NA,"[2352, 'yes']","['material']","['rubber']","['boot']","experimental_trial","","boot_rubber_green","list1"
"['yes']",6.82503333333333,"","['purple']","['leather']",0,NA,"[2249, 'yes']","['color']","['purple']","['jacket']","experimental_trial","","jacket_leather_purple","list1"
"['yes']",6.82503333333333,"","['silver']","['metal']",0,NA,"[2758, 'yes']","['material']","['metal']","['table']","experimental_trial","","table_metal_original","list1"
"['yes']",6.82503333333333,"","['green']","['metal']",0,NA,"[3577, 'yes']","['material']","['metal']","['chair']","experimental_trial","","chair_metal_green","list1"
"['no']",6.82503333333333,"","['brown']","['wood']",0,NA,"[2882, 'no']","['color']","['green']","['spoon']","experimental_trial","","spoon_wood_original","list1"
"['yes']",6.82503333333333,"","['silver']","['metal']",0,NA,"[3273, 'yes']","['color']","['silver']","['chair']","experimental_trial","","chair_metal_original","list1"
"['yes']",6.82503333333333,"","['white']","['paper']",0,NA,"[2345, 'yes']","['material']","['paper']","['plate']","experimental_trial","","plate_paper_original","list1"
"['yes']",6.82503333333333,"","['blue']","['wood']",0,NA,"[2167, 'yes']","['material']","['wood']","['spoon']","experimental_trial","","spoon_wood_blue","list1"
"['yes']",6.82503333333333,"","['green']","['glass']",0,NA,"[2015, 'yes']","['material']","['glass']","['pitcher']","experimental_trial","","pitcher_glass_green","list1"
"['yes']",6.82503333333333,"","['brown']","['paper']",0,NA,"[1992, 'yes']","['material']","['paper']","['bag']","experimental_trial","","bag_paper_original","list1"
"['no']",6.82503333333333,"","['green']","['metal']",0,NA,"[2294, 'no']","['material']","['paper']","['cup']","experimental_trial","","cup_metal_green","list1"
"['no']",6.82503333333333,"","['black']","['leather']",0,NA,"[2270, 'no']","['color']","['blue']","['jacket']","experimental_trial","","jacket_leather_original","list1"
"['no']",6.82503333333333,"","['brown']","['leather']",0,NA,"[2884, 'no']","['material']","['canvas']","['boot']","experimental_trial","","boot_leather_brown","list1"
"['yes']",6.82503333333333,"","['blue']","['paper']",0,NA,"[2240, 'yes']","['color']","['blue']","['bag']","experimental_trial","","bag_paper_blue","list1"
"['no']",6.82503333333333,"","['brown']","['cardboard']",0,NA,"[2168, 'no']","['material']","['plastic']","['box']","experimental_trial","","box_cardboard_original","list1"
"['yes']",6.82503333333333,"","['blue']","['metal']",0,NA,"[2514, 'yes']","['color']","['blue']","['pitcher']","experimental_trial","","pitcher_metal_blue","list1"
"['no']",6.82503333333333,"","['brown']","['wood']",0,NA,"[2576, 'no']","['material']","['plastic']","['chair']","experimental_trial","","chair_wood_original","list1"
"['yes']",6.82503333333333,"","['green']","['glass']",0,NA,"[3277, 'yes']","['color']","['green']","['bowl']","experimental_trial","","bowl_glass_green","list1"
"['no']",6.82503333333333,"","['purple']","['metal']",0,NA,"[2810, 'no']","['color']","['green']","['chair']","experimental_trial","","chair_metal_purple","list1"
"['yes']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[2099, 'yes']","['color']","['blue']","['chair']","experimental_trial","","chair_plastic_original","list1"
"['yes']",6.82503333333333,"","['blue']","['metal']",0,NA,"[3131, 'no']","['color']","['blue']","['cup']","experimental_trial","","cup_metal_blue","list1"
"['yes']",6.82503333333333,"","['blue']","['glass']",0,NA,"[2352, 'yes']","['material']","['glass']","['bowl']","experimental_trial","","bowl_glass_blue","list1"
"['no']",6.82503333333333,"","['green']","['rubber']",0,NA,"[2358, 'no']","['material']","['leather']","['boot']","experimental_trial","","boot_rubber_original","list1"
"['no']",6.82503333333333,"","['green']","['wood']",0,NA,"[2085, 'no']","['color']","['red']","['table']","experimental_trial","","table_wood_green","list1"
"['no']",6.82503333333333,"","['black']","['leather']",0,NA,"[2370, 'no']","['color']","['green']","['boot']","experimental_trial","","boot_leather_original","list1"
"['yes']",6.82503333333333,"","['blue']","['cardboard']",0,NA,"[2791, 'yes']","['material']","['cardboard']","['box']","experimental_trial","","box_cardboard_blue","list1"
"['no']",6.82503333333333,"","['blue']","['metal']",0,NA,"[2209, 'no']","['material']","['plastic']","['spoon']","experimental_trial","","spoon_metal_blue","list1"
"['yes']",6.82503333333333,"","['green']","['leather']",0,NA,"[1995, 'yes']","['material']","['leather']","['boot']","experimental_trial","","boot_leather_green","list1"
"['yes']",6.82503333333333,"","['white']","['plastic']",0,NA,"[1951, 'yes']","['material']","['plastic']","['pitcher']","experimental_trial","","pitcher_plastic_original","list1"
"['no']",6.82503333333333,"","['blue']","['paper']",0,NA,"[2017, 'no']","['color']","['black']","['plate']","experimental_trial","","plate_paper_blue","list1"
"['no']",6.82503333333333,"","['blue']","['denim']",0,NA,"[2504, 'no']","['color']","['green']","['jacket']","experimental_trial","","jacket_denim_original","list1"
"['yes']",6.82503333333333,"","['silver']","['metal']",0,NA,"[2508, 'yes']","['material']","['metal']","['cup']","experimental_trial","","cup_metal_original","list1"
"['no']",6.82503333333333,"","['blue']","['glass']",0,NA,"[2495, 'no']","['material']","['plastic']","['pitcher']","experimental_trial","","pitcher_glass_blue","list1"
"['no']",6.82503333333333,"","['blue']","['plastic']",0,NA,"[2085, 'no']","['color']","['purple']","['pitcher']","experimental_trial","","pitcher_plastic_blue","list1"
"['no']",6.82503333333333,"","['green']","['cardboard']",0,NA,"[2334, 'no']","['color']","['purple']","['box']","experimental_trial","","box_cardboard_green","list1"
"['yes']",6.82503333333333,"","['pink']","['plastic']",0,NA,"[2465, 'yes']","['material']","['plastic']","['plate']","experimental_trial","","plate_plastic_pink","list1"
"['yes']",6.82503333333333,"","['green']","['wood']",0,NA,"[2265, 'yes']","['material']","['wood']","['chair']","experimental_trial","","chair_wood_green","list1"
"['yes']",6.82503333333333,"","['purple']","['wood']",0,NA,"[2507, 'yes']","['color']","['purple']","['chair']","experimental_trial","","chair_wood_purple","list1"
"['yes']",6.82503333333333,"","['green']","['metal']",0,NA,"[2328, 'yes']","['material']","['metal']","['spoon']","experimental_trial","","spoon_metal_green","list1"
"['yes']",6.82503333333333,"","['green']","['glass']",0,NA,"[1936, 'yes']","['color']","['green']","['bottle']","experimental_trial","","bottle_glass_green","list1"
"['no']",6.82503333333333,"","['silver']","['metal']",0,NA,"[2263, 'no']","['material']","['glass']","['pitcher']","experimental_trial","","pitcher_metal_original","list1"
"['yes']",6.82503333333333,"","['blue']","['wood']",0,NA,"[3003, 'yes']","['color']","['blue']","['box']","experimental_trial","","box_wood_blue","list1"
"['no']",6.82503333333333,"","['blue']","['glass']",0,NA,"[2418, 'no']","['color']","['red']","['bottle']","experimental_trial","","bottle_glass_blue","list1"
"['yes']",6.82503333333333,"","['green']","['wood']",0,NA,"[4007, 'yes']","['color']","['green']","['spoon']","experimental_trial","","spoon_wood_green","list1"
"['no']",6.82503333333333,"","['clear']","['glass']",0,NA,"[2250, 'no']","['material']","['paper']","['bottle']","experimental_trial","","bottle_glass_original","list1"
"['no']",6.82503333333333,"","['brown']","['wood']",0,NA,"[2417, 'no']","['material']","['plastic']","['table']","experimental_trial","","table_wood_original","list1"
"['yes']",6.82503333333333,"","['silver']","['metal']",0,NA,"[2036, 'yes']","['color']","['silver']","['spoon']","experimental_trial","","spoon_metal_original","list1"
"['yes']",6.82503333333333,"","['purple']","['denim']",0,NA,"[1828, 'yes']","['color']","['purple']","['jacket']","experimental_trial","","jacket_denim_purple","list1"
"['no']",6.82503333333333,"","['green']","['metal']",0,NA,"[1684, 'no']","['material']","['wood']","['bowl']","experimental_trial","","bowl_metal_green","list1"
"['no']",6.82503333333333,"","['white']","['plastic']",0,NA,"[1928, 'no']","['material']","['wood']","['spoon']","experimental_trial","","spoon_plastic_original","list1"
"['yes']",6.82503333333333,"","['green']","['metal']",0,NA,"[2078, 'yes']","['color']","['green']","['table']","experimental_trial","","table_metal_green","list1"
"['no']",6.82503333333333,"","['clear']","['glass']",0,NA,"[1954, 'no']","['color']","['blue']","['pitcher']","experimental_trial","","pitcher_glass_original","list1"
"['no']",6.82503333333333,"","['white']","['plastic']",0,NA,"[2348, 'no']","['color']","['blue']","['bag']","experimental_trial","","bag_plastic_original","list1"
"",6.15178333333333,"bot_check","","",1,0,"Elizabeth","","","","1","Elizabeth","","list1"
"['no']",6.15178333333333,"","['silver']","['metal']",1,NA,"[2229, 'no']","['material']","['glass']","['ball']","practice_trial","","ball_metal_original","list1"
"['yes']",6.15178333333333,"","['yellow']","['wood']",1,NA,"[4285, 'yes']","['color']","['yellow']","['door']","practice_trial","","door_wood_yellow","list1"
"['no']",6.15178333333333,"","['blue']","['metal']",1,NA,"[3543, 'no']","['color']","['red']","['bag']","practice_trial","","ruler_metal_blue","list1"
"['yes']",6.15178333333333,"","['red']","['plastic']",1,NA,"[3895, 'yes']","['material']","['plastic']","['ball']","practice_trial","","ball_plastic_red","list1"
"['yes']",6.15178333333333,"","['silver']","['metal']",1,NA,"[4006, 'yes']","['material']","['metal']","['cup']","experimental_trial","","cup_metal_original","list1"
"['no']",6.15178333333333,"","['green']","['plastic']",1,NA,"[2384, 'no']","['color']","['blue']","['spoon']","experimental_trial","","spoon_plastic_green","list1"
"['no']",6.15178333333333,"","['green']","['paper']",1,NA,"[2729, 'no']","['color']","['red']","['bag']","experimental_trial","","bag_paper_green","list1"
"['yes']",6.15178333333333,"","['green']","['glass']",1,NA,"[3313, 'yes']","['color']","['green']","['bowl']","experimental_trial","","bowl_glass_green","list1"
"['no']",6.15178333333333,"","['white']","['plastic']",1,NA,"[3029, 'no']","['material']","['wood']","['spoon']","experimental_trial","","spoon_plastic_original","list1"
"['yes']",6.15178333333333,"","['green']","['rubber']",1,NA,"[2253, 'yes']","['material']","['rubber']","['boot']","experimental_trial","","boot_rubber_green","list1"
"['no']",6.15178333333333,"","['clear']","['plastic']",1,NA,"[2963, 'yes']","['material']","['metal']","['cup']","experimental_trial","","cup_plastic_original","list1"
"['no']",6.15178333333333,"","['blue']","['wood']",1,NA,"[2743, 'no']","['material']","['metal']","['table']","experimental_trial","","table_wood_blue","list1"
"['yes']",6.15178333333333,"","['blue']","['paper']",1,NA,"[2317, 'yes']","['color']","['blue']","['bag']","experimental_trial","","bag_paper_blue","list1"
"['yes']",6.15178333333333,"","['silver']","['metal']",1,NA,"[2740, 'yes']","['material']","['metal']","['table']","experimental_trial","","table_metal_original","list1"
"['yes']",6.15178333333333,"","['green']","['denim']",1,NA,"[3913, 'yes']","['material']","['denim']","['jacket']","experimental_trial","","jacket_denim_green","list1"
"['yes']",6.15178333333333,"","['green']","['plastic']",1,NA,"[2866, 'yes']","['material']","['plastic']","['plate']","experimental_trial","","plate_plastic_green","list1"
"['no']",6.15178333333333,"","['brown']","['wood']",1,NA,"[2938, 'no']","['material']","['plastic']","['chair']","experimental_trial","","chair_wood_original","list1"
"['yes']",6.15178333333333,"","['pink']","['plastic']",1,NA,"[2345, 'yes']","['material']","['plastic']","['plate']","experimental_trial","","plate_plastic_pink","list1"
"['yes']",6.15178333333333,"","['silver']","['metal']",1,NA,"[2189, 'yes']","['color']","['silver']","['chair']","experimental_trial","","chair_metal_original","list1"
"['yes']",6.15178333333333,"","['blue']","['wood']",1,NA,"[2215, 'no']","['material']","['wood']","['spoon']","experimental_trial","","spoon_wood_blue","list1"
"['yes']",6.15178333333333,"","['brown']","['rubber']",1,NA,"[6645, 'no']","['color']","['brown']","['boot']","experimental_trial","","boot_rubber_brown","list1"
"['yes']",6.15178333333333,"","['purple']","['wood']",1,NA,"[3158, 'yes']","['color']","['purple']","['chair']","experimental_trial","","chair_wood_purple","list1"
"['yes']",6.15178333333333,"","['green']","['wood']",1,NA,"[1852, 'yes']","['color']","['green']","['spoon']","experimental_trial","","spoon_wood_green","list1"
"['no']",6.15178333333333,"","['purple']","['plastic']",1,NA,"[40953, 'no']","['color']","['white']","['chair']","experimental_trial","","chair_plastic_purple","list1"
"['yes']",6.15178333333333,"","['green']","['wood']",1,NA,"[3025, 'yes']","['material']","['wood']","['chair']","experimental_trial","","chair_wood_green","list1"
"['no']",6.15178333333333,"","['green']","['plastic']",1,NA,"[3358, 'no']","['material']","['metal']","['chair']","experimental_trial","","chair_plastic_green","list1"
"['yes']",6.15178333333333,"","['green']","['plastic']",1,NA,"[1407, 'yes']","['color']","['green']","['bag']","experimental_trial","","bag_plastic_green","list1"
"['yes']",6.15178333333333,"","['green']","['metal']",1,NA,"[3404, 'yes']","['material']","['metal']","['chair']","experimental_trial","","chair_metal_green","list1"
"['no']",6.15178333333333,"","['blue']","['metal']",1,NA,"[3464, 'yes']","['material']","['plastic']","['spoon']","experimental_trial","","spoon_metal_blue","list1"
"['no']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[2966, 'no']","['material']","['glass']","['bag']","experimental_trial","","bag_plastic_blue","list1"
"['yes']",6.15178333333333,"","['purple']","['leather']",1,NA,"[1451, 'yes']","['color']","['purple']","['jacket']","experimental_trial","","jacket_leather_purple","list1"
"['no']",6.15178333333333,"","['black']","['leather']",1,NA,"[3974, 'no']","['color']","['green']","['boot']","experimental_trial","","boot_leather_original","list1"
"['no']",6.15178333333333,"","['clear']","['glass']",1,NA,"[4219, 'no']","['color']","['blue']","['pitcher']","experimental_trial","","pitcher_glass_original","list1"
"['yes']",6.15178333333333,"","['silver']","['metal']",1,NA,"[1643, 'yes']","['color']","['silver']","['bowl']","experimental_trial","","bowl_metal_original","list1"
"['no']",6.15178333333333,"","['blue']","['glass']",1,NA,"[4252, 'no']","['material']","['plastic']","['pitcher']","experimental_trial","","pitcher_glass_blue","list1"
"['no']",6.15178333333333,"","['green']","['metal']",1,NA,"[2259, 'no']","['material']","['paper']","['cup']","experimental_trial","","cup_metal_green","list1"
"['no']",6.15178333333333,"","['silver']","['metal']",1,NA,"[1940, 'no']","['material']","['glass']","['pitcher']","experimental_trial","","pitcher_metal_original","list1"
"['yes']",6.15178333333333,"","['white']","['paper']",1,NA,"[1995, 'yes']","['material']","['paper']","['plate']","experimental_trial","","plate_paper_original","list1"
"['yes']",6.15178333333333,"","['green']","['leather']",1,NA,"[2623, 'yes']","['material']","['leather']","['boot']","experimental_trial","","boot_leather_green","list1"
"['yes']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[1839, 'yes']","['material']","['plastic']","['bottle']","experimental_trial","","bottle_plastic_blue","list1"
"['yes']",6.15178333333333,"","['green']","['plastic']",1,NA,"[1874, 'yes']","['color']","['green']","['bottle']","experimental_trial","","bottle_plastic_green","list1"
"['yes']",6.15178333333333,"","['green']","['plastic']",1,NA,"[2035, 'yes']","['color']","['green']","['cup']","experimental_trial","","cup_plastic_green","list1"
"['no']",6.15178333333333,"","['green']","['wood']",1,NA,"[2914, 'no']","['color']","['orange']","['box']","experimental_trial","","box_wood_green","list1"
"['no']",6.15178333333333,"","['blue']","['paper']",1,NA,"[1748, 'no']","['color']","['black']","['plate']","experimental_trial","","plate_paper_blue","list1"
"['yes']",6.15178333333333,"","['white']","['plastic']",1,NA,"[1421, 'yes']","['material']","['plastic']","['pitcher']","experimental_trial","","pitcher_plastic_original","list1"
"['yes']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[1561, 'yes']","['color']","['blue']","['chair']","experimental_trial","","chair_plastic_original","list1"
"['no']",6.15178333333333,"","['green']","['cardboard']",1,NA,"[4893, 'no']","['color']","['purple']","['box']","experimental_trial","","box_cardboard_green","list1"
"['no']",6.15178333333333,"","['green']","['rubber']",1,NA,"[4164, 'yes']","['material']","['leather']","['boot']","experimental_trial","","boot_rubber_original","list1"
"['no']",6.15178333333333,"","['green']","['leather']",1,NA,"[4085, 'no']","['material']","['denim']","['jacket']","experimental_trial","","jacket_leather_green","list1"
"['no']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[4939, 'no']","['color']","['green']","['plate']","experimental_trial","","plate_plastic_original","list1"
"['no']",6.15178333333333,"","['brown']","['wood']",1,NA,"[1790, 'no']","['color']","['green']","['spoon']","experimental_trial","","spoon_wood_original","list1"
"['yes']",6.15178333333333,"","['blue']","['cardboard']",1,NA,"[1511, 'yes']","['material']","['cardboard']","['box']","experimental_trial","","box_cardboard_blue","list1"
"['yes']",6.15178333333333,"","['blue']","['glass']",1,NA,"[2234, 'yes']","['material']","['glass']","['bowl']","experimental_trial","","bowl_glass_blue","list1"
"['yes']",6.15178333333333,"","['green']","['metal']",1,NA,"[3382, 'yes']","['material']","['metal']","['spoon']","experimental_trial","","spoon_metal_green","list1"
"['no']",6.15178333333333,"","['clear']","['glass']",1,NA,"[2617, 'no']","['material']","['metal']","['bowl']","experimental_trial","","bowl_glass_original","list1"
"['no']",6.15178333333333,"","['clear']","['glass']",1,NA,"[3000, 'no']","['material']","['paper']","['bottle']","experimental_trial","","bottle_glass_original","list1"
"['no']",6.15178333333333,"","['green']","['paper']",1,NA,"[1716, 'no']","['material']","['metal']","['plate']","experimental_trial","","plate_paper_green","list1"
"['yes']",6.15178333333333,"","['green']","['metal']",1,NA,"[3417, 'yes']","['color']","['green']","['table']","experimental_trial","","table_metal_green","list1"
"['no']",6.15178333333333,"","['green']","['wood']",1,NA,"[1393, 'no']","['color']","['red']","['table']","experimental_trial","","table_wood_green","list1"
"['no']",6.15178333333333,"","['brown']","['wood']",1,NA,"[3086, 'yes']","['material']","['glass']","['box']","experimental_trial","","box_wood_original","list1"
"['no']",6.15178333333333,"","['clear']","['plastic']",1,NA,"[2176, 'no']","['color']","['black']","['bottle']","experimental_trial","","bottle_plastic_original","list1"
"['no']",6.15178333333333,"","['black']","['leather']",1,NA,"[3030, 'no']","['color']","['blue']","['jacket']","experimental_trial","","jacket_leather_original","list1"
"['no']",6.15178333333333,"","['blue']","['metal']",1,NA,"[2618, 'no']","['color']","['white']","['bowl']","experimental_trial","","bowl_metal_blue","list1"
"['no']",6.15178333333333,"","['blue']","['denim']",1,NA,"[2480, 'no']","['color']","['green']","['jacket']","experimental_trial","","jacket_denim_original","list1"
"['yes']",6.15178333333333,"","['green']","['metal']",1,NA,"[1701, 'yes']","['material']","['metal']","['pitcher']","experimental_trial","","pitcher_metal_green","list1"
"['no']",6.15178333333333,"","['blue']","['glass']",1,NA,"[2255, 'no']","['color']","['red']","['bottle']","experimental_trial","","bottle_glass_blue","list1"
"['no']",6.15178333333333,"","['brown']","['wood']",1,NA,"[2420, 'no']","['material']","['plastic']","['table']","experimental_trial","","table_wood_original","list1"
"['no']",6.15178333333333,"","['brown']","['cardboard']",1,NA,"[2581, 'no']","['material']","['plastic']","['box']","experimental_trial","","box_cardboard_original","list1"
"['yes']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[2442, 'yes']","['material']","['plastic']","['spoon']","experimental_trial","","spoon_plastic_blue","list1"
"['yes']",6.15178333333333,"","['green']","['glass']",1,NA,"[3052, 'yes']","['color']","['green']","['bottle']","experimental_trial","","bottle_glass_green","list1"
"['no']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[2939, 'no']","['color']","['purple']","['pitcher']","experimental_trial","","pitcher_plastic_blue","list1"
"['yes']",6.15178333333333,"","['blue']","['metal']",1,NA,"[3184, 'yes']","['color']","['blue']","['pitcher']","experimental_trial","","pitcher_metal_blue","list1"
"['no']",6.15178333333333,"","['purple']","['metal']",1,NA,"[2318, 'no']","['color']","['green']","['chair']","experimental_trial","","chair_metal_purple","list1"
"['yes']",6.15178333333333,"","['brown']","['paper']",1,NA,"[2497, 'yes']","['material']","['paper']","['bag']","experimental_trial","","bag_paper_original","list1"
"['no']",6.15178333333333,"","['brown']","['leather']",1,NA,"[1584, 'no']","['material']","['canvas']","['boot']","experimental_trial","","boot_leather_brown","list1"
"['no']",6.15178333333333,"","['blue']","['plastic']",1,NA,"[1730, 'no']","['color']","['red']","['cup']","experimental_trial","","cup_plastic_blue","list1"
"['yes']",6.15178333333333,"","['blue']","['wood']",1,NA,"[2123, 'yes']","['color']","['blue']","['box']","experimental_trial","","box_wood_blue","list1"
"['no']",6.15178333333333,"","['blue']","['metal']",1,NA,"[3581, 'no']","['material']","['plastic']","['table']","experimental_trial","","table_metal_blue","list1"
"['yes']",6.15178333333333,"","['green']","['plastic']",1,NA,"[2465, 'yes']","['color']","['green']","['pitcher']","experimental_trial","","pitcher_plastic_green","list1"
"['yes']",6.15178333333333,"","['silver']","['metal']",1,NA,"[3308, 'yes']","['color']","['silver']","['spoon']","experimental_trial","","spoon_metal_original","list1"
"['no']",6.15178333333333,"","['green']","['metal']",1,NA,"[2657, 'no']","['material']","['wood']","['bowl']","experimental_trial","","bowl_metal_green","list1"
"['yes']",6.15178333333333,"","['blue']","['metal']",1,NA,"[1697, 'yes']","['color']","['blue']","['cup']","experimental_trial","","cup_metal_blue","list1"
"['yes']",6.15178333333333,"","['green']","['glass']",1,NA,"[2541, 'yes']","['material']","['glass']","['pitcher']","experimental_trial","","pitcher_glass_green","list1"
"['no']",6.15178333333333,"","['white']","['plastic']",1,NA,"[2340, 'no']","['color']","['blue']","['bag']","experimental_trial","","bag_plastic_original","list1"
"['yes']",6.15178333333333,"","['purple']","['denim']",1,NA,"[2239, 'yes']","['color']","['purple']","['jacket']","experimental_trial","","jacket_denim_purple","list1"
"",14.0213,"bot_check","","",2,0,"Jennifer","","","","1","Jennifer","","list1"
"['no']",14.0213,"","['silver']","['metal']",2,NA,"[4278, 'no']","['material']","['glass']","['ball']","practice_trial","","ball_metal_original","list1"
"['yes']",14.0213,"","['yellow']","['wood']",2,NA,"[2224, 'yes']","['color']","['yellow']","['door']","practice_trial","","door_wood_yellow","list1"
"['no']",14.0213,"","['blue']","['metal']",2,NA,"[2403, 'no']","['color']","['red']","['bag']","practice_trial","","ruler_metal_blue","list1"
"['yes']",14.0213,"","['red']","['plastic']",2,NA,"[3118, 'yes']","['material']","['plastic']","['ball']","practice_trial","","ball_plastic_red","list1"
"['no']",14.0213,"","['green']","['plastic']",2,NA,"[2752, 'no']","['material']","['metal']","['chair']","experimental_trial","","chair_plastic_green","list1"
"['yes']",14.0213,"","['green']","['rubber']",2,NA,"[1890, 'yes']","['material']","['rubber']","['boot']","experimental_trial","","boot_rubber_green","list1"
"['no']",14.0213,"","['silver']","['metal']",2,NA,"[3262, 'yes']","['material']","['glass']","['pitcher']","experimental_trial","","pitcher_metal_original","list1"
"['no']",14.0213,"","['clear']","['glass']",2,NA,"[3100, 'no']","['material']","['paper']","['bottle']","experimental_trial","","bottle_glass_original","list1"
"['yes']",14.0213,"","['silver']","['metal']",2,NA,"[2809, 'yes']","['color']","['silver']","['chair']","experimental_trial","","chair_metal_original","list1"
"['yes']",14.0213,"","['brown']","['paper']",2,NA,"[3218, 'yes']","['material']","['paper']","['bag']","experimental_trial","","bag_paper_original","list1"
