"workerid","proliferate.condition","age","asses","color","comments","education","enjoyment","gender","language","error","speaker_cond"
1250,"list1",32,"Yes","No","",4,1,"Female","English",NA,"batch1"
1464,"list1",32,"No","No","",3,1,"Female","English",NA,"batch1"
1184,"list1",43,"Yes","No","Nice",4,2,"Male","English",NA,"batch1"
1546,"list1",19,"No","No","",2,2,"Male","english",NA,"batch1"
1264,"list1",47,"Yes","No","excellent",4,2,"Male","English",NA,"batch1"
1443,"list1",24,"Yes","No","no",2,1,"Female","English",NA,"batch1"
1122,"list1",29,"Yes","","",3,0,"Male","English",NA,"batch1"
1351,"list1",27,"Yes","No","",4,1,"Other","English",NA,"batch1"
1361,"list1",33,"Yes","No","None.",4,1,"Female","English",NA,"batch1"
1138,"list2",41,"Yes","No","",3,1,"Male","english",NA,"batch1"
1202,"list2",33,"Yes","No","na",4,1,"Male","english",NA,"batch1"
1502,"list2",23,"Yes","No","I accidentally chose the wrong answer for one of them. ",2,2,"Female","English",NA,"batch1"
1350,"list2",39,"Yes","No","I don't think my reflexes were fast enough on this task.",3,2,"Female","English",NA,"batch1"
1453,"list2",21,"Yes","No","",2,2,"Female","College",NA,"batch1"
1394,"list2",33,"Yes","No","",2,2,"Male","English",NA,"batch1"
1378,"list2",36,"Yes","No","",2,2,"Female","English",NA,"batch1"
1164,"list2",31,"Yes","Yes","",4,1,"Male","english",NA,"batch1"
1457,"list2",32,"Yes","No","",4,1,"Male","English",NA,"batch1"
1249,"list2",29,"Yes","No","",3,1,"Female","English",NA,"batch1"
1496,"list2",59,"Yes","No","",3,1,"Male","English",NA,"batch1"
1274,"list2",58,"Yes","No","It wasn't clear from the pictures what the tables and, especially, the plates were made of.",4,2,"Female","English",NA,"batch1"
1185,"list2",42,"Yes","No","",1,1,"Female","english",NA,"batch1"
1200,"list2",29,"Yes","No","",2,1,"Male","english",NA,"batch1"
1537,"list2",35,"Yes","No","",3,1,"Female","English",NA,"batch1"
1545,"list2",30,"Yes","No","",3,1,"Female","english",NA,"batch1"
1325,"list2",22,"Yes","No","",3,1,"Female","English",NA,"batch1"
1530,"list2",32,"Yes","No","",3,2,"Male","english",NA,"batch1"
1257,"list2",55,"Yes","No","",3,2,"Male","english",NA,"batch1"
1192,"list2",63,"Confused","No","",3,-1,"Female","English",NA,"batch1"
1300,"list2",21,"Yes","No","",2,1,"Female","Cantonese",NA,"batch1"
1291,"list2",24,"No","No","",3,-1,"Male","English",NA,"batch1"
1491,"list2",43,"Yes","No","No comments.",3,1,"Male","english",NA,"batch1"
1156,"list2",30,"Yes","No","",3,2,"Male","English",NA,"batch1"
1330,"list2",30,"Yes","No","good survey",3,1,"Male","english",NA,"batch1"
1482,"list2",22,"No","No","",2,1,"Male","English",NA,"batch1"
1233,"list2",38,"Yes","No","",4,1,"Female","English",NA,"batch1"
1283,"list2",45,"Yes","No","",3,2,"Female","english",NA,"batch1"
1234,"list2",38,"Yes","No","",3,2,"Female","English",NA,"batch1"
1120,"list2",38,"Yes","No","",2,1,"Female","English",NA,"batch1"
1414,"list2",46,"Yes","No","",3,1,"Male","english",NA,"batch1"
1130,"list2",37,"Yes","No","",3,1,"Male","english",NA,"batch1"
1442,"list2",44,"Yes","No","",2,2,"Female","English",NA,"batch1"
1316,"list2",20,"Yes","No","",2,1,"Female","english",NA,"batch1"
1512,"list2",24,"Yes","No","Everything went fine, I'm unsure as to the point of it however. I don't know what it was studying",2,1,"Male","English",NA,"batch1"
1146,"list2",33,"Yes","No","None",2,1,"Female","English",NA,"batch1"
1224,"list2",47,"Yes","No","",3,1,"Female","English",NA,"batch1"
1358,"list2",27,"Yes","No","",3,2,"Female","English",NA,"batch1"
1171,"list2",55,"Yes","No","",2,1,"Male","English",NA,"batch1"
1422,"list2",50,"Yes","No","This was hard especially when it came to things like wooden objects. Sometimes the pictures made it hard to tell.",4,2,"Female","English",NA,"batch1"
1267,"list2",20,"Yes","No","",2,1,"Female","English",NA,"batch1"
1387,"list2",28,"Yes","No","N/A",4,2,"Female","English",NA,"batch1"
1520,"list2",23,"Yes","No","None.",2,1,"Female","English",NA,"batch1"
1555,"list2",43,"Yes","No","the question about the silver object was a bit ambiguous.  While there was a silver color, it is plausible that the objects were made of silver making my incorrect answer correct.",2,1,"Male","English",NA,"batch1"
1341,"list2",35,"Yes","No","",3,2,"Male","English",NA,"batch1"
1216,"list2",63,"Yes","No","This I felt was not worth the money earned I felt like a lab rat...intimidating indeed.",2,0,"Female","English",NA,"batch1"
1473,"list2",28,"Yes","No","",1,1,"Male","English",NA,"batch1"
1368,"list2",37,"Yes","No","",2,1,"Female","English",NA,"batch1"
1435,"list2",50,"Yes","No","",3,1,"Male","",NA,"batch1"
1403,"list2",25,"Yes","No","",3,1,"Male","english",NA,"batch1"
1247,"list4",33,"Yes","No","",3,2,"Female","English",NA,"batch1"
1256,"list4",32,"Yes","No","The color ones were pretty easy, but the object materials were hard especially with the color changes. ",3,2,"Female","English",NA,"batch1"
1519,"list4",30,"Yes","No","",3,2,"Female","English",NA,"batch1"
1290,"list4",24,"Yes","No","",4,2,"Male","English",NA,"batch1"
1215,"list4",32,"Yes","No","",3,1,"Female","English",NA,"batch1"
1235,"list4",19,"Yes","No","",0,2,"Other","English",NA,"batch1"
1527,"list4",24,"Yes","No","It's kind of hard to tell what an image is, especially when it has to do with what kind of object it is",3,1,"Male","English",NA,"batch1"
1539,"list4",NA,"","","",-1,-1,"","",NA,"batch1"
1307,"list4",32,"Yes","No","Really wonderful, time was a bit too long though.",3,0,"Female","English",NA,"batch1"
1451,"list4",18,"Yes","No","",1,1,"Female","English",NA,"batch1"
1481,"list4",30,"Yes","No","",3,1,"Male","English",NA,"batch1"
1137,"list4",24,"Yes","No","",3,1,"Female","English",NA,"batch1"
1393,"list4",41,"Yes","No","",3,2,"Male","English",NA,"batch1"
1421,"list4",26,"Yes","No","Images were too small to see properly. Some properties a bit too similar for proper comparison. ",2,0,"Male","English",NA,"batch1"
1282,"list4",56,"Yes","No","",3,1,"Female","en_US",NA,"batch1"
1329,"list4",47,"Yes","No","",4,-1,"Female","English",NA,"batch1"
1554,"list4",43,"Yes","No","Hard HIT",2,1,"Male","English",NA,"batch1"
1571,"list4",19,"Yes","No","",2,2,"Female","English",NA,"batch1"
1153,"list4",22,"Yes","No","",3,1,"Female","English",NA,"batch1"
1527,"list4",26,"Yes","No","N/A",3,1,"Female","English",NA,"batch1"
1129,"list4",25,"Yes","No","",3,1,"Male","English",NA,"batch1"
1472,"list4",28,"Yes","No","",3,1,"Male","English",NA,"batch1"
1208,"list4",25,"Yes","No","concise",4,2,"Male","english",NA,"batch1"
1266,"list4",30,"Yes","No","",3,1,"Female","English",NA,"batch1"
1199,"list4",39,"Yes","No","None, thank you",3,2,"Female","Engligh",NA,"batch1"
1169,"list4",22,"Yes","No","",3,1,"Female","English",NA,"batch1"
1191,"list4",30,"Yes","No","this was fun",2,2,"Female","english",NA,"batch1"
1298,"list4",34,"Yes","No","",3,1,"Female","english",NA,"batch1"
1357,"list4",28,"Confused","No","",3,1,"Female","English, Spanish",NA,"batch1"
1573,"list4",24,"Yes","No","",4,2,"Male","English",NA,"batch1"
1490,"list4",35,"Yes","No","",2,2,"Female","English",NA,"batch1"
1161,"list4",31,"Yes","No","",2,1,"Female","english",NA,"batch1"
1575,"list4",31,"Yes","No","",2,2,"Female","English",NA,"batch1"
1402,"list4",31,"Yes","No","",3,1,"Female","English",NA,"batch1"
1466,"list4",43,"Yes","No","",2,1,"Female","English",NA,"batch1"
1323,"list4",32,"Yes","No","",4,1,"Male","English",NA,"batch1"
1223,"list4",22,"Yes","No","",2,2,"Female","english",NA,"batch1"
1273,"list4",19,"Yes","No","",2,2,"Female","English",NA,"batch1"
1511,"list4",65,"Yes","No","Very nice",3,2,"Male","English",NA,"batch1"
1441,"list4",38,"Yes","No","",4,1,"Male","English",NA,"batch1"
1493,"list4",63,"Yes","No","",3,1,"Female","English",NA,"batch1"
1386,"list4",50,"Yes","No","",3,2,"Male","English",NA,"batch1"
1145,"list4",35,"Yes","No","",2,1,"Female","English",NA,"batch1"
1232,"list4",26,"Yes","No","Sometimes it was difficult to distinguish if an object was a certain quality like paper or plastic purely off of the picture. It's interesting to see which ones took me longer to figure out. Thanks for the survey!",2,2,"Female","English",NA,"batch1"
1367,"list4",30,"Yes","No","",3,1,"Male","English",NA,"batch1"
1340,"list4",54,"No","No","This was fantastic!  Thank you for this great study!",2,2,"Female","English",NA,"batch1"
1349,"list4",38,"Yes","No","",2,1,"Male","English",NA,"batch1"
1176,"list4",26,"Yes","No","None.",4,1,"Female","English",NA,"batch1"
1377,"list4",36,"Yes","No","none",2,1,"Female","english",NA,"batch1"
1180,"list4",36,"Yes","No","",4,2,"Female","English",NA,"batch1"
1574,"list4",NA,"Yes","No","",4,-1,"Male","",NA,"batch1"
1471,"list8",27,"Yes","No","its hard to tell what some things are made of",3,0,"Female","English",NA,"batch1"
1289,"list8",26,"Yes","No","",0,2,"Other","English",NA,"batch1"
1366,"list8",28,"Yes","No","",2,2,"Female","english",NA,"batch1"
1265,"list8",25,"Yes","No","none",3,1,"Male","English",NA,"batch1"
1306,"list8",74,"Yes","No","became distracted when i knew i hit the wrong answer by accident and could not correct it! It made me slow down for the next one.",3,1,"Female","english",NA,"batch1"
1459,"list8",22,"Yes","No","Some objects were not entirely clear about their material from a purely visual perspective.",2,1,"Male","English",NA,"batch1"
1348,"list8",35,"Yes","No","",3,1,"Male","English",NA,"batch1"
1222,"list8",50,"Yes","No","No comments",2,2,"Female","English",NA,"batch1"
1401,"list8",24,"Yes","No","",2,1,"Male","English",NA,"batch1"
1553,"list8",22,"Yes","No","",3,2,"Female","english",NA,"batch1"
1210,"list8",23,"Yes","No","",3,1,"Female","English",NA,"batch1"
1136,"list8",19,"Yes","No","",2,1,"Male","English",NA,"batch1"
1463,"list8",26,"Yes","No","",2,1,"Female","English",NA,"batch1"
1255,"list8",22,"Yes","No","",2,1,"Male","English ",NA,"batch1"
1385,"list8",66,"Yes","No","",3,2,"Female","English",NA,"batch1"
1536,"list8",NA,"Yes","No","",-1,1,"","",NA,"batch1"
1246,"list8",32,"Yes","No","Very cool, thank you :)",3,2,"Female","English",NA,"batch1"
1128,"list8",20,"No","No","",1,2,"Male","english",NA,"batch1"
1167,"list8",27,"No","No","",3,1,"Male","en_US",NA,"batch1"
1440,"list8",36,"No","Yes","",2,2,"Male","english",NA,"batch1"
1230,"list8",31,"Yes","Yes","",3,1,"Male","English",NA,"batch1"
1479,"list8",26,"Yes","No","",3,1,"Male","English",NA,"batch1"
1489,"list8",48,"Yes","No","",3,1,"Male","english",NA,"batch1"
1420,"list8",45,"Yes","No","Everything worked well.  Good luck with your research!",2,1,"Male","English",NA,"batch1"
1376,"list8",29,"Yes","No","",3,2,"Female","English",NA,"batch1"
1339,"list8",25,"Yes","No","",2,2,"Female","english",NA,"batch1"
1272,"list8",43,"Yes","No","",1,1,"Female","English ",NA,"batch1"
1518,"list8",42,"Yes","Yes","",4,1,"Male","English",NA,"batch1"
1198,"list8",40,"Yes","No","",4,1,"Female","English",NA,"batch1"
1498,"list8",27,"Yes","No","",3,1,"Female","English",NA,"batch1"
1501,"list8",42,"Yes","No","",3,2,"Male","English",NA,"batch1"
1160,"list8",29,"No","No","",4,-1,"Female","English",NA,"batch1"
1392,"list8",22,"Yes","No","",2,1,"Male","English",NA,"batch1"
1299,"list8",33,"Yes","No","Thank you!",3,2,"Female","English/Spanish",NA,"batch1"
1281,"list8",24,"Yes","No","",3,1,"Male","English",NA,"batch1"
1152,"list8",18,"Yes","Yes","",2,2,"Male","spanish",NA,"batch1"
1322,"list8",20,"Yes","No","",2,2,"Male","English",NA,"batch1"
1174,"list8",26,"Yes","No","",2,1,"Female","English",NA,"batch1"
1510,"list8",57,"Yes","No","Fun survey",3,2,"Female","English",NA,"batch1"
1207,"list8",61,"No","No","all good..pretty fun...a little hard to discern plastic from metal in some of the container presents....?",2,2,"Male","english",NA,"batch1"
1240,"list8",32,"Yes","No","",2,1,"Male","English",NA,"batch1"
1430,"list8",31,"Yes","No","",3,2,"Female","English",NA,"batch1"
1452,"list8",19,"No","Yes","",1,1,"","English",NA,"batch1"
1526,"list8",29,"Yes","No","",3,1,"Female","English",NA,"batch1"
1314,"list8",25,"Yes","No","",3,1,"Male","English",NA,"batch1"
1190,"list8",24,"Yes","No","",2,1,"Female","english",NA,"batch1"
1328,"list8",22,"Yes","No","",2,0,"Male","Emglish",NA,"batch1"
1297,"list8",38,"No","No","",3,2,"Female","English",NA,"batch1"
1412,"list8",33,"Yes","No","Some of the object materials were hard to discern.  Both matte and shiny finishes could be plastic, or matte could indicate plastic and shiny could be metal. ",4,1,"Female","English",NA,"batch1"
1544,"list8",52,"Yes","No","",3,2,"Male","English",NA,"batch1"
1439,"list5",47,"Yes","No","Fun exercise. Hope it helped you!",4,2,"Female","English",NA,"batch1"
1384,"list5",30,"Yes","No","Thanks!",3,1,"Male","English",NA,"batch1"
1143,"list5",34,"Yes","No","",3,2,"Male","english",NA,"batch1"
1429,"list5",46,"Yes","No","It was sort of hard to tell what the images were made of and how they were different. Some things weren't different enough, if that makes sense. Otherwise, kind of fun.",3,1,"Male","English",NA,"batch1"
1507,"list5",33,"Yes","No","",2,1,"Female","English",NA,"batch1"
1214,"list5",51,"Yes","Yes","thx",2,2,"Male","English",NA,"batch1"
1296,"list5",29,"Yes","No","N/A",3,1,"Female","Hmong",NA,"batch1"
1206,"list5",27,"Confused","No","",0,1,"Male","english",NA,"batch1"
1321,"list5",80,"Yes","No","thank you",3,2,"Female","English",NA,"batch1"
1557,"list5",27,"Yes","No","",2,1,"Female","English",NA,"batch1"
1371,"list5",37,"Yes","No","",3,2,"Male","English",NA,"batch1"
1229,"list5",21,"Yes","No","It was hard to tell at a glance what material the objects were made of so I took longer ",2,1,"Female","English",NA,"batch1"
1535,"list5",23,"Yes","No","",3,1,"Female","English",NA,"batch1"
1338,"list5",30,"Yes","No","No comments at this time.",2,1,"Male","English",NA,"batch1"
1346,"list5",30,"Yes","No","No comment the study was great",4,2,"Male","English",NA,"batch1"
1434,"list5",34,"Yes","No","",4,1,"Male","English",NA,"batch1"
1391,"list5",29,"Yes","No","",3,2,"Male","English",NA,"batch1"
1543,"list5",28,"Yes","No","",2,2,"Male","english",NA,"batch1"
1127,"list5",32,"Yes","No","",3,2,"Female","English",NA,"batch1"
1313,"list5",22,"Yes","No","None ",2,1,"Female","english",NA,"batch1"
1189,"list5",19,"Yes","No","",2,2,"Female","English",NA,"batch1"
1177,"list5",47,"Yes","No","Only if they are described on Prolific with accurate time estimates. This was described as 2 minutes, and I feel that was deceptive on your part.",3,0,"Male","English",NA,"batch1"
1197,"list5",24,"Yes","Yes","",2,2,"Male","english",NA,"batch1"
1271,"list5",27,"Yes","No","You asked for transparent/clear objects, then showed four objects that had levels of transparency. It was indicated as wrong. I think this will be an error for many/all participants.",3,1,"Male","English",NA,"batch1"
1400,"list5",35,"Yes","No","",4,1,"Male","english",NA,"batch1"
1279,"list5",28,"Yes","No","It was hard to tell in some cases. I identified something as blue when I think it was supposed to be clear because it had a cool tint. I also think that objects I identified as ""plastic"" were supposed to be ""metal"" because they were shiny. Some objects were supposed to be ""purple"" but I don't know if I would describe the color as ""purple.""",3,1,"Male","English",NA,"batch1"
1151,"list5",36,"Yes","No","",2,1,"Female","English",NA,"batch1"
1495,"list5",44,"Yes","No","",3,2,"Male","engilsh",NA,"batch1"
1565,"list5",20,"Yes","No","",1,1,"Male","English",NA,"batch1"
1327,"list5",36,"No","Yes","I found the study to be pleasant to go through.",2,2,"Male","English",NA,"batch1"
1165,"list5",42,"No","No","",3,1,"Female","English",NA,"batch1"
1305,"list5",26,"Yes","No","",3,1,"Male","English",NA,"batch1"
1159,"list5",42,"Yes","No","This was a very fun study to take part in and much different from others that I have taken before.",1,2,"Male","English",NA,"batch1"
1566,"list5",37,"Yes","No","",2,1,"Male","english",NA,"batch1"
1239,"list5",19,"Yes","No","I was slower than I wanted to be because I had to think about which key meant yes and which key meant no. Some of the pictures, like those asking if the object was wood or plastic were hard to determine. ",2,0,"Female","English",NA,"batch1"
1525,"list5",32,"Yes","No","",2,1,"Male","English",NA,"batch1"
1563,"list5",37,"Yes","No","",2,2,"Male","English",NA,"batch1"
1409,"list5",18,"Yes","No","",1,1,"Male","English",NA,"batch1"
1183,"list5",36,"Yes","No","",3,1,"Male","English",NA,"batch1"
1488,"list5",64,"Yes","No","",4,-1,"Female","English",NA,"batch1"
1263,"list5",51,"Yes","No","",3,1,"Male","english",NA,"batch1"
1564,"list5",42,"No","No","This was nice study",3,2,"Female","English",NA,"batch1"
1558,"list5",34,"Yes","No","",2,2,"Male","english",NA,"batch1"
1355,"list5",29,"Yes","No","",3,2,"Female","english",NA,"batch1"
1552,"list5",37,"No","No","",2,2,"Female","english",NA,"batch1"
1562,"list5",30,"Yes","No","n/a",1,2,"Male","English",NA,"batch1"
1478,"list5",37,"Yes","No","None",3,1,"Male","English",NA,"batch1"
1559,"list5",26,"Yes","No","",4,1,"Female","English",NA,"batch1"
1517,"list5",25,"Yes","No","",1,2,"Female","English",NA,"batch1"
1419,"list5",39,"Yes","No","N/A",3,2,"Male","English",NA,"batch1"
1567,"list5",60,"Yes","No","It's a bit hard to determine things like leather and paper from the size of these objects, even on a 15 inch screen.",3,1,"Male","English",NA,"batch1"
1245,"list5",20,"Yes","No","",2,1,"Female","English",NA,"batch1"
1135,"list5",18,"Yes","No","",1,1,"Male","English",NA,"batch1"
1560,"list5",53,"Yes","No","",3,1,"Male","english",NA,"batch1"
1375,"list5",30,"Yes","No","",3,1,"Male","english",NA,"batch1"
1254,"list5",27,"Yes","No","I liked this! Some of the items were difficult to determine (such as whether the plates were paper or plastic)",4,2,"Male","English",NA,"batch1"
1213,"list7",23,"Yes","No","",2,1,"Male","English ",NA,"batch1"
1182,"list7",24,"Yes","No","",2,1,"Male","English",NA,"batch1"
1461,"list7",21,"Yes","No","no comments thank you",1,1,"Female","English",NA,"batch1"
1469,"list7",63,"Yes","No","",3,2,"Male","English",NA,"batch1"
1390,"list7",24,"Yes","No","",3,2,"Female","English",NA,"batch1"
1411,"list7",18,"Yes","No","",1,2,"Male","English",NA,"batch1"
1364,"list7",36,"Confused","No","No Comments ",4,2,"Male","English",NA,"batch1"
1516,"list7",30,"No","No","",2,1,"Male","english",NA,"batch1"
1150,"list7",25,"Yes","No","n/a",2,1,"Male","English",NA,"batch1"
1524,"list7",43,"Yes","No","I messed up one I didn't realize was metal.  Sorry!",3,2,"Male","English",NA,"batch1"
1492,"list7",32,"Yes","No","I didn't understand the instructions until after the testing phase. ",2,1,"Female","English",NA,"batch1"
1175,"list7",23,"Yes","No","",2,2,"Male","English",NA,"batch1"
1597,"list7",31,"Yes","No","",4,0,"Female","English",NA,"batch1"
1278,"list7",37,"Yes","No","",3,1,"Female","English",NA,"batch1"
1426,"list7",32,"Yes","No","",3,1,"Female","English",NA,"batch1"
1438,"list7",33,"Yes","No","",3,1,"Female","English",NA,"batch1"
1354,"list7",44,"Yes","No","none",3,2,"Female","english",NA,"batch1"
1126,"list7",41,"Yes","No","",3,2,"Female","English",NA,"batch1"
1418,"list7",39,"Confused","No","better",3,1,"Male","English",NA,"batch1"
1506,"list7",36,"Yes","No","",4,1,"Female","English",NA,"batch1"
1383,"list7",31,"Yes","No","",3,1,"Male","english",NA,"batch1"
1134,"list7",32,"Yes","No","",2,1,"Male","english",NA,"batch1"
1253,"list7",34,"Yes","No","",3,1,"Female","English",NA,"batch1"
1326,"list7",24,"Yes","No","",3,1,"Male","English",NA,"batch1"
1486,"list7",27,"Yes","No","",4,1,"Female","english",NA,"batch1"
1345,"list7",25,"Yes","No","",3,2,"Male","English",NA,"batch1"
1285,"list7",38,"Yes","No","none",3,1,"Female","English",NA,"batch1"
1188,"list7",32,"Yes","No","none",1,2,"Female","english",NA,"batch1"
1312,"list7",69,"Yes","No","Had to look real close, but I got it.",2,2,"Female","English",NA,"batch1"
1399,"list7",45,"Yes","No","It is hard to determine the material an object is made of when it's colored/painted (wooden doors, tables, paper plates, etc.) so I'm not sure if that's intentional or not.",3,2,"Female","English",NA,"batch1"
1477,"list7",62,"Yes","No","It was fun but harder than I expected.",2,2,"Female","english",NA,"batch1"
1270,"list7",58,"Yes","No","No comments.",3,1,"Male","English",NA,"batch1"
1304,"list7",19,"Yes","No","",1,1,"Female","English",NA,"batch1"
1449,"list7",27,"Yes","No","",3,1,"Female","English",NA,"batch1"
1142,"list7",40,"Yes","No","",4,2,"Male","english",NA,"batch1"
1205,"list7",20,"Yes","No","N/A",2,2,"Male","English",NA,"batch1"
1158,"list7",70,"Yes","No","I have nothing to add at the moment.",3,2,"Male","English",NA,"batch1"
1262,"list7",29,"Yes","No","",2,2,"Male","English",NA,"batch1"
1295,"list7",44,"Yes","No","Find in interesting topic here.",4,2,"Male","English",NA,"batch1"
1244,"list7",34,"Yes","No","good",3,2,"Female","english",NA,"batch1"
1542,"list7",23,"Yes","No","None",2,1,"Male","English",NA,"batch1"
1166,"list7",29,"Yes","No","",2,1,"Male","English",NA,"batch1"
1335,"list7",29,"Yes","No","Sometimes it was hard to tell what was considered metal/plastic/paper/rubber for the objects.",2,1,"Female","English",NA,"batch1"
1196,"list7",21,"Yes","No","",2,1,"Male","English",NA,"batch1"
1374,"list7",43,"Yes","No","",3,2,"Male","English",NA,"batch1"
1228,"list7",70,"Yes","No","",3,2,"Female","English",NA,"batch1"
1320,"list7",28,"Yes","No","fun!",1,2,"Female","english",NA,"batch1"
1534,"list7",32,"Yes","No","",3,2,"Male","English",NA,"batch1"
1238,"list7",23,"Yes","No","",3,1,"Male","English",NA,"batch1"
1220,"list7",19,"Yes","No","",2,1,"Female","English",NA,"batch1"
1548,"list3",30,"Yes","No","This was fun, but some of the pictures weren't too clear.",2,2,"Male","English",NA,"batch1"
1363,"list3",34,"Yes","No","No Comments thanks ",4,1,"Male","English",NA,"batch1"
1398,"list3",39,"Yes","No","Nothing",4,2,"Male","English",NA,"batch1"
1124,"list3",40,"Confused","No","good survey",4,2,"Male","English",NA,"batch1"
1133,"list3",21,"No","No","",2,2,"Male","English",NA,"batch1"
1550,"list3",36,"Yes","No","",2,2,"Male","english",NA,"batch1"
1181,"list3",35,"Yes","No","Very interesting and engaging.",1,2,"Female","english",NA,"batch1"
1417,"list3",19,"Yes","No","good luck!",2,1,"Female","English",NA,"batch1"
1269,"list3",29,"Yes","No","",1,1,"Female","English",NA,"batch1"
1580,"list3",38,"Yes","No","",2,1,"Male","English",NA,"batch1"
1508,"list3",21,"Yes","No","",2,2,"Female","English",NA,"batch1"
1149,"list3",32,"Yes","No","N/A",1,0,"Male","English",NA,"batch1"
1497,"list3",45,"Yes","No","",3,2,"Male","english",NA,"batch1"
1448,"list3",39,"Yes","No","Hitting the space bar in between each set was annoying. Make the images automatically appear after you hit Y/N next time.",3,2,"Female","english",NA,"batch1"
1237,"list3",48,"Yes","No","",3,2,"Male","English",NA,"batch1"
1336,"list3",32,"Yes","No","",1,1,"Male","English",NA,"batch1"
1445,"list3",25,"Yes","No","The plates were hard to tell what material they were, paper or plastic",2,1,"Male","English",NA,"batch1"
1332,"list3",23,"Yes","No","",3,1,"Female","english",NA,"batch1"
1572,"list3",56,"Yes","No","Fun! Thank you",2,1,"Female","English",NA,"batch1"
1280,"list3",54,"Yes","No","",3,1,"Female","English",NA,"batch1"
1347,"list3",22,"Yes","No","",3,2,"Male","English",NA,"batch1"
1515,"list3",38,"Yes","No","",2,2,"Female","english",NA,"batch1"
1187,"list3",34,"Yes","No","None",4,1,"Male","English",NA,"batch1"
1458,"list3",46,"Confused","Yes","thank you",3,2,"Male","English",NA,"batch1"
1582,"list3",19,"Yes","No","When coming here from prolific, the link had a typo: it said gisthub (or something) instead of github. I only was able to complete the hit because I realized the typo; I assume many others will not notice this typo, so please fix your link. Otherwise, great hit! My prolific ID is 5f2150b3319efd2d619a356b in case you need it.",2,2,"Male","English (US)",NA,"batch1"
1360,"list3",23,"Yes","No","",2,1,"Female","English",NA,"batch1"
1337,"list3",50,"Yes","No","",2,-1,"Female","English",NA,"batch1"
