"asses","language","gender","comments","education","workerid","age","enjoyment","color","speaker_cond"
"Yes","English","Male","The HIT was fun! Thank you for the opportunity.",2,44,42,2,"No","list2"
"Yes","English","Female","",3,45,23,1,"No","list2"
"Yes","english","Male","",3,46,22,2,"No","list2"
"Yes","Englisj","Female","",3,47,27,1,"No","list2"
"Yes","english","Male","",3,48,30,1,"No","list2"
"Yes","English","Male","None",3,49,41,2,"No","list2"
"Yes","english","Male","good",3,50,30,2,"No","list2"
"Yes","English","Male","",2,51,53,1,"No","list2"
"Yes","English","Male","",3,52,25,2,"No","list2"
"Yes","english","Male","",1,53,29,1,"No","list2"
"Yes","English","Male","",1,54,26,2,"No","list2"
"Yes","English","Male","",2,55,24,1,"Yes","list2"
"Yes","English","Male","",1,56,30,2,"No","list2"
"Yes","English","Female","no comments",3,57,52,2,"No","list2"
"Yes","english","Male","",3,58,45,2,"No","list2"
"Yes","English","Female","thank you!",3,59,29,2,"No","list2"
"Yes","English","Female","",1,60,34,2,"No","list3"
"Yes","english","Female","",1,61,36,2,"No","list3"
"Yes","English","Male","",2,62,28,2,"No","list3"
"Yes","English","Male","",2,63,39,1,"No","list3"
"Yes","English","Female","",4,64,60,2,"No","list3"
"Yes","English","Female","It was in interesting hit",3,65,38,2,"No","list3"
"Yes","english","Female","",3,66,48,1,"No","list3"
"Yes","Englsih","Male","",2,67,41,1,"No","list3"
"Yes","","Male","Good",2,68,39,0,"Yes","list3"
"","","","",-1,69,NA,-1,"","list3"
"Yes","English","Female","",3,70,25,2,"No","list3"
"Yes","English","Female","Thank you!",3,71,26,1,"No","list3"
"Yes","english","Female","none",3,72,37,2,"No","list3"
"Yes","English","Male","",1,73,38,1,"No","list3"
"Yes","english","Female","",3,74,46,2,"No","list3"
"Yes","english","Male","good study",3,75,30,1,"No","list3"
"Yes","English","Male","Good.",3,76,26,2,"No","list3"
"Confused","english","Male","good",3,77,30,2,"Yes","list3"
"Yes","english","Female","thank you",2,78,53,2,"No","list3"
"Yes","English","Male","",3,79,47,1,"No","list3"
"Yes","English","Male","Nice hit, different.",2,80,43,2,"No","list3"
"Yes","English","Male","",1,81,31,1,"No","list3"
"Yes","English","Male","",3,82,31,2,"No","list3"
"Yes","english","Female","very well",2,83,28,2,"No","list3"
"Yes","english","Male","good",3,84,30,2,"No","list3"
"Yes","English","Female","",2,85,54,2,"No","list3"
"Confused","english","Male","good",3,86,30,2,"Yes","list3"
"Yes","English","Male","fun and interesting",1,87,28,2,"No","list3"
"Yes","English","Male","Everything worked well.",1,88,40,2,"No","list3"
"Yes","English","Male","",3,89,24,1,"No","list3"
"Yes","English","Male","Thank you.",2,90,44,2,"No","list4"
"Yes","English","Female","Engaging HIT and well paid, thanks.",3,91,60,2,"No","list4"
"Yes","english","Female","good",3,92,30,1,"Yes","list4"
"No","English ","Male","nice",3,93,27,2,"No","list4"
"Yes","English","Female","Nice one",3,94,27,2,"No","list4"
"Yes","English","Male","Thank You",2,95,28,2,"No","list4"
"Yes","ENGLISH","Female","NONE",3,96,55,2,"No","list4"
"Yes","English","Male","good",2,97,35,1,"No","list4"
"Yes","English","Male","This was interesting",3,98,31,1,"No","list4"
"Yes","English","Female","",2,99,29,2,"No","list4"
"Yes","English","Male","Was a fun HIT.",2,100,23,2,"No","list4"
"Yes","english","Male","good",3,101,33,1,"Yes","list4"
"Yes","English","Female","",2,102,36,2,"No","list4"
"Yes","English","Male","N/A",4,103,27,2,"No","list4"
"Yes","English","Male","",3,104,30,1,"No","list4"
"Yes","English","Male","",2,105,33,2,"No","list4"
"Yes","ENGLISH","Female","THANKS, LOVE THIS HIT",1,106,56,2,"No","list4"
"Yes","ENGLISH","Male","good",3,107,30,1,"No","list4"
"Yes","english","Male","good survey",3,108,30,2,"No","list4"
"Yes","English","Male","",4,109,25,1,"No","list4"
"Yes","English","Female","",3,110,31,2,"Yes","list4"
"Yes","English","Male","",2,111,24,2,"No","list4"
"Yes","English","Male","",3,112,37,1,"No","list4"
"Yes","English","Male","No comments ",3,113,29,2,"No","list4"
"Yes","English","Male","good",3,114,32,2,"No","list4"
"Yes","english","Female","",2,115,25,2,"No","list4"
"Yes","english","Female","",1,116,33,2,"No","list4"
"Yes","English","Female","",3,117,25,1,"No","list4"
"Yes","English","Female","Very fun!",3,118,28,2,"No","list4"
"Yes","USA","Male","Good",2,119,39,0,"Yes","list4"
