"enjoyment","language","asses","comments","education","gender","age","workerid","speaker_cond"
2,"English","Yes","",1,"Male",31,47,"typ2"
2,"English","Yes","",2,"Male",29,48,"typ2"
2,"English","Yes","",2,"Male",27,49,"typ2"
1,"English","Yes","",2,"Female",62,50,"typ2"
2,"English","Yes","",2,"Female",23,51,"typ2"
1,"English","Yes","interesting",3,"Male",24,52,"typ2"
1,"English","Yes","No Comments",3,"Male",62,53,"typ2"
2,"English","Yes","",2,"Male",31,54,"typ2"
2,"Enlgish","Yes","",3,"Female",34,55,"typ2"
1,"english","Yes","",3,"Female",27,56,"typ2"
2,"Englsih","Yes","Thank you for this wonderful HIT!",4,"Male",48,57,"typ2"
2,"English","Yes","Great Study, hope to do more in the future.",3,"Male",31,58,"typ2"
-1,"","","",-1,"",NA,59,"typ2"
2,"English","Yes","no problems",2,"Male",45,60,"typ2"
2,"English","Yes","Most of them seemed like typical representation of the objects. ones i rated lower or atypical i could see easily rated typical by others. it is all down to what you are familiar with.",1,"Male",30,61,"typ2"
1,"english","Yes","",2,"Female",26,62,"typ2"
2,"English","Yes","none",2,"Male",32,63,"typ2"
2,"english","Yes","good",3,"Male",28,64,"typ2"
1,"English","Yes","None at this time.",3,"Male",50,65,"typ2"
2,"English","Yes","Very interesting",3,"Female",35,66,"typ2"
1,"English","Yes","",2,"Female",38,67,"typ2"
2,"English","Yes","",3,"Male",62,68,"typ2"
2,"english","Yes","",2,"Male",39,69,"typ2"
2,"english","Yes","God bless and good luck! You are gonna have a great career.
",2,"Male",29,70,"typ2"
1,"English","Yes","nice",3,"Female",35,71,"typ2"
2,"English","Yes","This was really interesting!  Each item had me thinking...like ""have I ever even seen a green chair?  Oh, yes I have!""  Thank you for the opportunity to participate.",3,"Male",36,72,"typ2"
2,"Endlish","Yes","nice survey",3,"Female",27,73,"typ2"
1,"english","Yes","gimme more",1,"Male",21,74,"typ2"
2,"English","Yes","",3,"Male",43,75,"typ2"
1,"English","Yes","",2,"Male",29,76,"typ2"
2,"English","Yes","The survey was clear and concise.",3,"Male",40,77,"typ2"
1,"English","No","",3,"Male",30,78,"typ2"
2,"English","Yes","",4,"Female",42,79,"typ2"
2,"English","Yes","Thank you!",3,"Female",30,80,"typ2"
1,"English","Yes","It was kind of interesting that all of the objects I was shown were typical objects for the word given. Now, if they had asked how typical it was for that particular color or material to be used, than the answers might have been different. For example- the green boot. Is it a typical boot? Absolutely. Do I normally expect it to be green? Not really. But the question asked was if it was a typical boot. So I said highly yes. Maybe some distinction in the instructions would have been helpful?",3,"Female",32,81,"typ2"
2,"English","Yes","Thanks take care",2,"Male",37,82,"typ2"
2,"English","Yes","",1,"Female",36,83,"typ2"
2,"English","Yes","Awesome! ",1,"Female",48,84,"typ2"
2,"English","Yes","",2,"Female",37,85,"typ2"
1,"english","Yes","",1,"Male",28,86,"typ2"
1,"english","Yes","",3,"Male",34,87,"typ2"
2,"ENGLISH","Yes","GOOD ONE ",3,"Female",29,88,"typ2"
2,"English","Yes","No.",3,"Female",43,89,"typ2"
