"","slide_number_in_experiment","workerid","correct_color","response","label","feature","correct_answer","feature_type","rt","Answer.time_in_minutes","correct_material","utterance","item","object"
"23","28",0,"blue","[880, 'no']","cup_metal_blue","metal","yes","material",0,4.21881666666667,"metal",0,"cup",0
"24","29",0,"brown","[1441, 'no']","table_wood_brown_original","red","no","color",0,4.21881666666667,"wood",0,"table",0
"25","30",0,"clear","[1281, 'no']","bottle_glass_clear_original","green","no","color",0,4.21881666666667,"glass",0,"bottle",0
"26","31",0,"blue","[1231, 'no']","bowl_metal_blue","denim","no","material",0,4.21881666666667,"metal",0,"bowl",0
"27","32",0,"green","[1839, 'yes']","bag_plastic_green","plastic","yes","material",0,4.21881666666667,"plastic",0,"bag",0
"28","33",0,"blue","[1040, 'yes']","box_cardboard_blue","blue","yes","color",0,4.21881666666667,"cardboard",0,"box",0
"29","34",0,"green","[1124, 'yes']","pitcher_metal_green","green","yes","color",0,4.21881666666667,"metal",0,"pitcher",0
"30","35",0,"brown","[784, 'no']","box_cardboard_brown_original","purple","no","color",0,4.21881666666667,"cardboard",0,"box",0
"31","36",0,"blue","[1051, 'no']","spoon_metal_blue","pink","no","color",0,4.21881666666667,"metal",0,"spoon",0
"32","37",0,"green","[1566, 'no']","bowl_metal_green","yellow","no","color",0,4.21881666666667,"metal",0,"bowl",0
"33","38",0,"blue","[1568, 'no']","chair_plastic_blue_original","plastic","yes","material",0,4.21881666666667,"plastic",0,"chair",0
"34","39",0,"blue","[864, 'no']","plate_plastic_blue_original","denim","no","material",0,4.21881666666667,"plastic",0,"plate",0
"35","40",0,"green","[1247, 'no']","plate_paper_green","silver","no","color",0,4.21881666666667,"paper",0,"plate",0
"36","41",0,"blue","[960, 'no']","pitcher_plastic_blue","denim","no","material",0,4.21881666666667,"plastic",0,"pitcher",0
"37","42",0,"green","[1197, 'no']","spoon_wood_green","wood","yes","material",0,4.21881666666667,"wood",0,"spoon",0
"38","43",0,"silver","[1072, 'yes']","bowl_metal_silver_original","metal","yes","material",0,4.21881666666667,"metal",0,"bowl",0
"39","44",0,"black","[1614, 'no']","jacket_leather_black_original","plastic","no","material",0,4.21881666666667,"leather",0,"jacket",0
"40","45",0,"green","[848, 'no']","bag_paper_green","cardboard","no","material",0,4.21881666666667,"paper",0,"bag",0
"41","46",0,"green","[1395, 'yes']","cup_plastic_green","plastic","yes","material",0,4.21881666666667,"plastic",0,"cup",0
"42","47",0,"blue","[1108, 'no']","cup_plastic_blue","glass","no","material",0,4.21881666666667,"plastic",0,"cup",0
"43","48",0,"blue","[1056, 'yes']","box_wood_blue","wood","yes","material",0,4.21881666666667,"wood",0,"box",0
"44","49",0,"silver","[994, 'no']","pitcher_metal_silver_original","black","no","color",0,4.21881666666667,"metal",0,"pitcher",0
"45","50",0,"silver","[1309, 'yes']","table_metal_silver_original","silver","yes","color",0,4.21881666666667,"metal",0,"table",0
"46","51",0,"brown","[928, 'no']","chair_wood_brown_original","yellow","no","color",0,4.21881666666667,"wood",0,"chair",0
"47","52",0,"blue","[866, 'no']","jacket_denim_blue_original","cardboard","no","material",0,4.21881666666667,"denim",0,"jacket",0
"48","53",0,"green","[1520, 'yes']","chair_metal_green","green","yes","color",0,4.21881666666667,"metal",0,"chair",0
"49","54",0,"blue","[900, 'yes']","spoon_plastic_blue","blue","yes","color",0,4.21881666666667,"plastic",0,"spoon",0
"50","55",0,"green","[1054, 'yes']","bowl_glass_green","glass","yes","material",0,4.21881666666667,"glass",0,"bowl",0
"51","56",0,"blue","[720, 'no']","bag_plastic_blue","silver","no","color",0,4.21881666666667,"plastic",0,"bag",0
"52","57",0,"green","[927, 'yes']","boot_leather_green","green","yes","color",0,4.21881666666667,"leather",0,"boot",0
"53","58",0,"blue","[1214, 'yes']","bowl_glass_blue","blue","yes","color",0,4.21881666666667,"glass",0,"bowl",0
"54","59",0,"silver","[1071, 'yes']","cup_metal_silver_original","silver","yes","color",0,4.21881666666667,"metal",0,"cup",0
"55","60",0,"green","[880, 'no']","cup_metal_green","black","no","color",0,4.21881666666667,"metal",0,"cup",0
"56","61",0,"green","[848, 'no']","table_wood_green","glass","no","material",0,4.21881666666667,"wood",0,"table",0
"57","62",0,"purple","[992, 'yes']","chair_wood_purple","wood","yes","material",0,4.21881666666667,"wood",0,"chair",0
"58","63",0,"clear","[1616, 'no']","cup_plastic_clear_original","white","no","color",0,4.21881666666667,"plastic",0,"cup",0
"59","64",0,"white","[1496, 'yes']","plate_paper_white_original","white","yes","color",0,4.21881666666667,"paper",0,"plate",0
"60","65",0,"pink","[786, 'no']","plate_plastic_pink","pink","yes","color",0,4.21881666666667,"plastic",0,"plate",0
"61","66",0,"blue","[1168, 'no']","bottle_glass_blue","denim","no","material",0,4.21881666666667,"glass",0,"bottle",0
"62","67",0,"purple","[1424, 'yes']","jacket_leather_purple","leather","yes","material",0,4.21881666666667,"leather",0,"jacket",0
"63","68",0,"purple","[1073, 'no']","chair_plastic_purple","glass","no","material",0,4.21881666666667,"plastic",0,"chair",0
"64","69",0,"black","[1008, 'no']","boot_rubber_black_original","white","no","color",0,4.21881666666667,"rubber",0,"boot",0
"65","70",0,"silver","[976, 'yes']","spoon_metal_silver_original","metal","yes","material",0,4.21881666666667,"metal",0,"spoon",0
"66","71",0,"green","[818, 'no']","box_cardboard_green","plastic","no","material",0,4.21881666666667,"cardboard",0,"box",0
"67","72",0,"white","[1471, 'no']","bag_plastic_white_original","leather","no","material",0,4.21881666666667,"plastic",0,"bag",0
"68","73",0,"green","[867, 'no']","jacket_leather_green","blue","no","color",0,4.21881666666667,"leather",0,"jacket",0
"69","74",0,"clear","[800, 'no']","pitcher_glass_clear_original","denim","no","material",0,4.21881666666667,"glass",0,"pitcher",0
"70","75",0,"green","[864, 'no']","table_metal_green","metal","yes","material",0,4.21881666666667,"metal",0,"table",0
"71","76",0,"blue","[1760, 'yes']","spoon_wood_blue","blue","yes","color",0,4.21881666666667,"wood",0,"spoon",0
"72","77",0,"clear","[960, 'no']","bottle_plastic_clear_original","wood","no","material",0,4.21881666666667,"plastic",0,"bottle",0
"73","78",0,"green","[1007, 'yes']","spoon_metal_green","green","yes","color",0,4.21881666666667,"metal",0,"spoon",0
"74","79",0,"silver","[1058, 'yes']","chair_metal_silver_original","metal","yes","material",0,4.21881666666667,"metal",0,"chair",0
"75","80",0,"green","[1120, 'no']","bottle_plastic_green","plastic","yes","material",0,4.21881666666667,"plastic",0,"bottle",0
"76","81",0,"brown","[1184, 'no']","boot_leather_brown","clear","no","color",0,4.21881666666667,"leather",0,"boot",0
"77","82",0,"green","[752, 'yes']","plate_plastic_green","green","yes","color",0,4.21881666666667,"plastic",0,"plate",0
"78","83",0,"green","[1173, 'yes']","pitcher_plastic_green","plastic","yes","material",0,4.21881666666667,"plastic",0,"pitcher",0
"79","84",0,"blue","[928, 'yes']","bottle_plastic_blue","blue","yes","color",0,4.21881666666667,"plastic",0,"bottle",0
"80","85",0,"purple","[800, 'no']","chair_metal_purple","glass","no","material",0,4.21881666666667,"metal",0,"chair",0
"81","86",0,"blue","[991, 'no']","pitcher_glass_blue","purple","no","color",0,4.21881666666667,"glass",0,"pitcher",0
"82","87",0,"purple","[1197, 'yes']","jacket_denim_purple","denim","yes","material",0,4.21881666666667,"denim",0,"jacket",0
"83","88",0,"brown","[1208, 'no']","boot_rubber_brown","rubber","yes","material",0,4.21881666666667,"rubber",0,"boot",0
"84","89",0,"brown","[1618, 'no']","box_wood_brown_original","purple","no","color",0,4.21881666666667,"wood",0,"box",0
"85","90",0,"brown","[1090, 'no']","spoon_wood_brown_original","plastic","no","material",0,4.21881666666667,"wood",0,"spoon",0
