"","slide_number_in_experiment","object","workerid","correct_material","item","correct_answer","utterance","label","feature","correct_color","Answer.time_in_minutes","rt","feature_type","response"
"20","25",0,0,"leather","jacket","yes",0,"jacket_leather_green","leather","green",2.85381666666667,0,"material","[1387, 'no']"
"21","26",0,0,"wood","table","yes",0,"table_wood_blue","wood","blue",2.85381666666667,0,"material","[1311, 'no']"
"22","27",0,0,"metal","pitcher","yes",0,"pitcher_metal_silver_original","metal","silver",2.85381666666667,0,"material","[1328, 'yes']"
"23","28",0,0,"glass","bottle","yes",0,"bottle_glass_blue","blue","blue",2.85381666666667,0,"color","[1014, 'no']"
"24","29",0,0,"metal","bowl","no",0,"bowl_metal_silver_original","paper","silver",2.85381666666667,0,"material","[936, 'yes']"
"25","30",0,0,"metal","pitcher","no",0,"pitcher_metal_green","yellow","green",2.85381666666667,0,"color","[1039, 'no']"
"26","31",0,0,"leather","jacket","yes",0,"jacket_leather_black_original","black","black",2.85381666666667,0,"color","[1005, 'no']"
"27","32",0,0,"rubber","boot","no",0,"boot_rubber_brown","glass","brown",2.85381666666667,0,"material","[1008, 'no']"
"28","33",0,0,"plastic","bottle","no",0,"bottle_plastic_green","leather","green",2.85381666666667,0,"material","[974, 'no']"
"29","34",0,0,"metal","spoon","no",0,"spoon_metal_green","pink","green",2.85381666666667,0,"color","[952, 'no']"
"30","35",0,0,"wood","box","yes",0,"box_wood_green","green","green",2.85381666666667,0,"color","[823, 'yes']"
"31","36",0,0,"cardboard","box","yes",0,"box_cardboard_brown_original","cardboard","brown",2.85381666666667,0,"material","[823, 'no']"
"32","37",0,0,"wood","spoon","yes",0,"spoon_wood_brown_original","brown","brown",2.85381666666667,0,"color","[1688, 'yes']"
"33","38",0,0,"glass","pitcher","no",0,"pitcher_glass_green","brown","green",2.85381666666667,0,"color","[678, 'yes']"
"34","39",0,0,"paper","bag","no",0,"bag_paper_blue","denim","blue",2.85381666666667,0,"material","[752, 'no']"
"35","40",0,0,"paper","plate","no",0,"plate_paper_white_original","clear","white",2.85381666666667,0,"color","[855, 'no']"
"36","41",0,0,"plastic","bottle","no",0,"bottle_plastic_blue","brown","blue",2.85381666666667,0,"color","[695, 'no']"
"37","42",0,0,"plastic","bag","yes",0,"bag_plastic_blue","plastic","blue",2.85381666666667,0,"material","[1344, 'no']"
"38","43",0,0,"plastic","bottle","yes",0,"bottle_plastic_clear_original","clear","clear",2.85381666666667,0,"color","[854, 'yes']"
"39","44",0,0,"glass","pitcher","yes",0,"pitcher_glass_blue","glass","blue",2.85381666666667,0,"material","[674, 'yes']"
"40","45",0,0,"metal","chair","yes",0,"chair_metal_purple","purple","purple",2.85381666666667,0,"color","[695, 'yes']"
"41","46",0,0,"wood","chair","no",0,"chair_wood_green","clear","green",2.85381666666667,0,"color","[568, 'yes']"
"42","47",0,0,"wood","spoon","no",0,"spoon_wood_green","denim","green",2.85381666666667,0,"material","[679, 'no']"
"43","48",0,0,"rubber","boot","no",0,"boot_rubber_green","red","green",2.85381666666667,0,"color","[806, 'no']"
"44","49",0,0,"plastic","cup","yes",0,"cup_plastic_clear_original","plastic","clear",2.85381666666667,0,"material","[518, 'no']"
"45","50",0,0,"plastic","pitcher","no",0,"pitcher_plastic_white_original","green","white",2.85381666666667,0,"color","[933, 'yes']"
"46","51",0,0,"leather","boot","yes",0,"boot_leather_brown","leather","brown",2.85381666666667,0,"material","[647, 'no']"
"47","52",0,0,"rubber","boot","yes",0,"boot_rubber_black_original","rubber","black",2.85381666666667,0,"material","[514, 'yes']"
"48","53",0,0,"plastic","spoon","no",0,"spoon_plastic_blue","silver","blue",2.85381666666667,0,"color","[680, 'no']"
"49","54",0,0,"denim","jacket","no",0,"jacket_denim_purple","leather","purple",2.85381666666667,0,"material","[1543, 'yes']"
"50","55",0,0,"wood","box","no",0,"box_wood_blue","cardboard","blue",2.85381666666667,0,"material","[696, 'no']"
"51","56",0,0,"glass","pitcher","yes",0,"pitcher_glass_clear_original","clear","clear",2.85381666666667,0,"color","[600, 'no']"
"52","57",0,0,"leather","jacket","no",0,"jacket_leather_purple","wood","purple",2.85381666666667,0,"material","[487, 'yes']"
"53","58",0,0,"plastic","spoon","yes",0,"spoon_plastic_green","green","green",2.85381666666667,0,"color","[811, 'yes']"
"54","59",0,0,"plastic","chair","yes",0,"chair_plastic_purple","purple","purple",2.85381666666667,0,"color","[512, 'yes']"
"55","60",0,0,"paper","bag","yes",0,"bag_paper_green","green","green",2.85381666666667,0,"color","[577, 'yes']"
"56","61",0,0,"metal","chair","no",0,"chair_metal_silver_original","leather","silver",2.85381666666667,0,"material","[471, 'yes']"
"57","62",0,0,"leather","boot","yes",0,"boot_leather_black_original","black","black",2.85381666666667,0,"color","[647, 'no']"
"58","63",0,0,"paper","plate","yes",0,"plate_paper_green","paper","green",2.85381666666667,0,"material","[471, 'yes']"
"59","64",0,0,"glass","bowl","yes",0,"bowl_glass_clear_original","glass","clear",2.85381666666667,0,"material","[598, 'yes']"
"60","65",0,0,"plastic","chair","no",0,"chair_plastic_blue_original","leather","blue",2.85381666666667,0,"material","[827, 'no']"
"61","66",0,0,"denim","jacket","no",0,"jacket_denim_green","pink","green",2.85381666666667,0,"color","[417, 'no']"
"62","67",0,0,"wood","table","yes",0,"table_wood_brown_original","wood","brown",2.85381666666667,0,"material","[487, 'no']"
"63","68",0,0,"cardboard","box","yes",0,"box_cardboard_green","green","green",2.85381666666667,0,"color","[941, 'yes']"
"64","69",0,0,"glass","bowl","no",0,"bowl_glass_green","metal","green",2.85381666666667,0,"material","[704, 'yes']"
"65","70",0,0,"leather","boot","no",0,"boot_leather_green","purple","green",2.85381666666667,0,"color","[393, 'no']"
"66","71",0,0,"metal","chair","no",0,"chair_metal_green","yellow","green",2.85381666666667,0,"color","[476, 'no']"
"67","72",0,0,"metal","cup","no",0,"cup_metal_silver_original","pink","silver",2.85381666666667,0,"color","[576, 'no']"
"68","73",0,0,"metal","cup","no",0,"cup_metal_blue","paper","blue",2.85381666666667,0,"material","[863, 'yes']"
"69","74",0,0,"metal","table","no",0,"table_metal_green","denim","green",2.85381666666667,0,"material","[567, 'no']"
"70","75",0,0,"glass","bottle","no",0,"bottle_glass_green","leather","green",2.85381666666667,0,"material","[448, 'no']"
"71","76",0,0,"metal","spoon","no",0,"spoon_metal_silver_original","plastic","silver",2.85381666666667,0,"material","[560, 'no']"
"72","77",0,0,"plastic","plate","yes",0,"plate_plastic_blue_original","blue","blue",2.85381666666667,0,"color","[455, 'no']"
"73","78",0,0,"wood","chair","yes",0,"chair_wood_brown_original","wood","brown",2.85381666666667,0,"material","[871, 'no']"
"74","79",0,0,"plastic","cup","no",0,"cup_plastic_green","cardboard","green",2.85381666666667,0,"material","[622, 'no']"
"75","80",0,0,"glass","bottle","yes",0,"bottle_glass_clear_original","glass","clear",2.85381666666667,0,"material","[424, 'no']"
"76","81",0,0,"denim","jacket","yes",0,"jacket_denim_blue_original","blue","blue",2.85381666666667,0,"color","[232, 'no']"
"77","82",0,0,"plastic","pitcher","no",0,"pitcher_plastic_green","rubber","green",2.85381666666667,0,"material","[662, 'no']"
"78","83",0,0,"metal","table","no",0,"table_metal_silver_original","red","silver",2.85381666666667,0,"color","[303, 'no']"
"79","84",0,0,"wood","box","yes",0,"box_wood_brown_original","wood","brown",2.85381666666667,0,"material","[422, 'no']"
"80","85",0,0,"plastic","plate","no",0,"plate_plastic_green","white","green",2.85381666666667,0,"color","[696, 'no']"
"81","86",0,0,"metal","cup","yes",0,"cup_metal_green","metal","green",2.85381666666667,0,"material","[335, 'no']"
"82","87",0,0,"wood","chair","no",0,"chair_wood_purple","plastic","purple",2.85381666666667,0,"material","[343, 'no']"
"83","88",0,0,"paper","plate","yes",0,"plate_paper_blue","blue","blue",2.85381666666667,0,"color","[367, 'no']"
"84","89",0,0,"plastic","spoon","yes",0,"spoon_plastic_white_original","plastic","white",2.85381666666667,0,"material","[406, 'yes']"
"85","90",0,0,"plastic","pitcher","yes",0,"pitcher_plastic_blue","blue","blue",2.85381666666667,0,"color","[423, 'no']"
