"","rowNum","gameid","roundNum","trialType","targetName","competitorName","notCompetitorName","speakerMessages","UtteranceType","SufficientProperty","RedundantProperty","RedExp3Cat","RedExp2Cat","redundant","clickedobject","clickedcolor","clickedmaterial","clickedoriginal","onlyColorMention","onlyMaterialMention","colormaterialMention","objnameMention","oneMention","theMention","article_Mention","ctrialType"
"85",85,"5178-c",19,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","blue plastic plate","color and material","material","color redundant","redundant","redundant",1,"plate","blue","plastic","original",0,0,1,1,0,1,1,0.515895953757225
"86",86,"5178-c",23,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green rectangular table","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,1,0,1,1,-0.484104046242775
"87",87,"5178-c",26,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","green wooden spoon","color and material","color","material redundant","redundant","redundant",1,"spoon","green","wood",NA,0,0,1,1,0,0,0,-0.484104046242775
"88",88,"5178-c",31,"high_difficulty","table_metal_silver_original","table_metal_green","table_wood_green","silver rectangular table","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,1,0,1,1,-0.484104046242775
"89",89,"5178-c",32,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_clear_original","green plastic bottle","color and material","material","color redundant","redundant","redundant",1,"bottle","green","plastic",NA,0,0,1,1,0,1,1,0.515895953757225
"90",90,"6915-5",1,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","glass___green","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,0,0,1,1,0.515895953757225
"91",91,"6915-5",2,"high_difficulty","chair_metal_green","chair_metal_purple","chair_plastic_purple","green","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"92",92,"6915-5",3,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","dark blue","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","plastic","original",1,0,0,0,0,1,1,0.515895953757225
"93",93,"6915-5",7,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","blue","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"94",94,"6915-5",9,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,0,0,0,0,-0.484104046242775
"95",95,"6915-5",11,"high_difficulty","boot_leather_green","boot_leather_black_original","boot_rubber_black_original","green","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,0,0,0,0,-0.484104046242775
"96",96,"6915-5",12,"low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original","jean","only material","material","color redundant","minimal","not_redundant",0,"jacket","purple","denim",NA,0,1,0,0,0,1,1,0.515895953757225
"97",97,"6915-5",14,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_metal_blue","green","only color","color","material redundant","minimal","not_redundant",0,"spoon","green","wood",NA,1,0,0,0,0,0,0,-0.484104046242775
"98",98,"6915-5",15,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"99",99,"6915-5",16,"low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_green","metal","only material","material","color redundant","minimal","not_redundant",0,"pitcher","blue","metal",NA,0,1,0,0,0,1,1,0.515895953757225
"100",100,"6915-5",17,"low_difficulty","bottle_plastic_green","bottle_glass_green","bottle_glass_blue","green plastic","color and material","material","color redundant","redundant","redundant",1,"bottle","green","plastic",NA,0,0,1,0,0,1,1,0.515895953757225
"101",101,"6915-5",22,"low_difficulty","table_metal_blue","table_wood_blue","table_wood_green","blue long","only color","material","color redundant","underinformative","not_redundant",0,"table","blue","metal",NA,1,0,0,0,0,0,0,0.515895953757225
"102",102,"6915-5",23,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink","light blue","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","paper",NA,1,0,0,0,0,0,0,0.515895953757225
"103",103,"6915-5",27,"high_difficulty","chair_metal_purple","chair_metal_green","chair_wood_green","purple","only color","color","material redundant","minimal","not_redundant",0,"chair","purple","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"104",104,"6915-5",30,"high_difficulty","table_metal_silver_original","table_metal_green","table_wood_green","silver","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,0,0,0,0,-0.484104046242775
"105",105,"6915-5",31,"low_difficulty","cup_plastic_green","cup_metal_green","cup_metal_silver_original","green plastic","color and material","material","color redundant","redundant","redundant",1,"cup","green","plastic",NA,0,0,1,0,0,1,1,0.515895953757225
"106",106,"0541-f",1,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","blue plate and it is darkly colored","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","plastic","original",1,0,0,1,0,1,1,0.515895953757225
"107",107,"6832-2",4,"low_difficulty","pitcher_metal_blue","pitcher_plastic_blue","pitcher_plastic_white_original","glass pitcher","only material","material","color redundant","minimal","not_redundant",0,"pitcher","blue","metal",NA,0,1,0,1,0,1,1,0.515895953757225
"108",108,"6832-2",6,"low_difficulty","jacket_denim_purple","jacket_leather_purple","jacket_leather_black_original","jean jacket","only material","material","color redundant","minimal","not_redundant",0,"jacket","purple","denim",NA,0,1,0,1,0,1,1,0.515895953757225
"109",109,"6832-2",8,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_green","paper plate","only material","material","color redundant","minimal","not_redundant",0,"plate","blue","paper",NA,0,1,0,1,0,1,1,0.515895953757225
"110",110,"6832-2",11,"high_difficulty","table_metal_blue","table_metal_green","table_wood_green","long blue","only color","color","material redundant","minimal","not_redundant",0,"table","blue","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"111",111,"6832-2",13,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","glass bottl.e","only material","material","color redundant","minimal","not_redundant",0,"bottle","green","glass",NA,0,1,0,0,0,1,1,0.515895953757225
"112",112,"6832-2",19,"high_difficulty","table_metal_silver_original","table_metal_blue","table_wood_blue","grey","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,0,0,0,0,-0.484104046242775
"113",113,"6832-2",20,"high_difficulty","boot_leather_green","boot_leather_brown","boot_rubber_brown","green","only color","color","material redundant","minimal","not_redundant",0,"boot","green","leather",NA,1,0,0,0,0,0,0,-0.484104046242775
"114",114,"6832-2",21,"high_difficulty","table_metal_green","table_metal_blue","table_wood_blue","green","only color","color","material redundant","minimal","not_redundant",0,"table","green","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"115",115,"6832-2",22,"low_difficulty","plate_plastic_blue_original","plate_paper_blue","plate_paper_green","blue plastic plate","color and material","material","color redundant","redundant","redundant",1,"plate","blue","plastic","original",0,0,1,1,0,1,1,0.515895953757225
"116",116,"6832-2",23,"high_difficulty","spoon_wood_green","spoon_wood_blue","spoon_plastic_blue","green","only color","color","material redundant","minimal","not_redundant",0,"spoon","green","wood",NA,1,0,0,0,0,0,0,-0.484104046242775
"117",117,"6832-2",25,"high_difficulty","plate_paper_blue","plate_paper_green","plate_plastic_green","blue","only color","color","material redundant","minimal","not_redundant",0,"plate","blue","paper",NA,1,0,0,0,0,0,0,-0.484104046242775
"118",118,"6832-2",26,"high_difficulty","chair_metal_purple","chair_metal_green","chair_plastic_green","purple","only color","color","material redundant","minimal","not_redundant",0,"chair","purple","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"119",119,"6832-2",30,"high_difficulty","chair_metal_green","chair_metal_purple","chair_wood_purple","green","only color","color","material redundant","minimal","not_redundant",0,"chair","green","metal",NA,1,0,0,0,0,0,0,-0.484104046242775
"120",120,"7475-6",1,"high_difficulty","table_metal_silver_original","table_metal_blue","table_wood_blue","it is very length and it is in gray color","only color","color","material redundant","minimal","not_redundant",0,"table","silver","metal","original",1,0,0,0,0,1,1,-0.484104046242775
"121",121,"7475-6",4,"low_difficulty","bottle_glass_green","bottle_plastic_green","bottle_plastic_clear_original","green blot water bottle looks like glass","color and material","material","color redundant","redundant","redundant",1,"bottle","green","glass",NA,0,0,1,1,0,1,1,0.515895953757225
"122",122,"7475-6",7,"low_difficulty","plate_paper_blue","plate_plastic_blue_original","plate_plastic_pink","sky blue plate","only color","material","color redundant","underinformative","not_redundant",0,"plate","blue","paper",NA,1,0,0,1,0,1,1,0.515895953757225
