"workerid","correct_answer","feature_type","label","Answer.time_in_minutes","item","feature","slide_number_in_experiment","correct_material","correct_color","response","speaker_cond"
0,"yes","material","bowl_glass_blue",1.53133333333333,"bowl","glass","48","glass","blue","[111, 'yes']","list1"
0,"yes","color","chair_metal_silver_original",1.53133333333333,"chair","silver","49","metal","silver","[181, 'no']","list1"
0,"no","color","boot_leather_black_original",1.53133333333333,"boot","clear","50","leather","black","[4, 'yes']","list1"
0,"yes","color","boot_rubber_brown",1.53133333333333,"boot","brown","51","rubber","brown","[208, 'yes']","list1"
0,"no","color","bag_paper_green",1.53133333333333,"bag","black","52","paper","green","[196, 'yes']","list1"
0,"no","material","bag_plastic_blue",1.53133333333333,"bag","metal","53","plastic","blue","[138, 'yes']","list1"
0,"no","material","chair_plastic_green",1.53133333333333,"chair","paper","54","plastic","green","[193, 'no']","list1"
0,"yes","color","bowl_glass_green",1.53133333333333,"bowl","green","55","glass","green","[5, 'yes']","list1"
0,"yes","material","box_cardboard_blue",1.53133333333333,"box","cardboard","56","cardboard","blue","[182, 'yes']","list1"
0,"yes","color","bottle_plastic_green",1.53133333333333,"bottle","green","57","plastic","green","[155, 'yes']","list1"
0,"no","material","bowl_metal_green",1.53133333333333,"bowl","cardboard","58","metal","green","[142, 'yes']","list1"
0,"yes","color","bag_paper_blue",1.53133333333333,"bag","blue","59","paper","blue","[186, 'yes']","list1"
0,"no","color","bag_plastic_white_original",1.53133333333333,"bag","yellow","60","plastic","white","[209, 'yes']","list1"
0,"yes","material","plate_plastic_pink",1.53133333333333,"plate","plastic","61","plastic","pink","[182, 'no']","list1"
0,"no","color","jacket_denim_blue_original",1.53133333333333,"jacket","red","62","denim","blue","[10, 'no']","list1"
0,"no","material","pitcher_metal_silver_original",1.53133333333333,"pitcher","glass","63","metal","silver","[19, 'yes']","list1"
0,"yes","color","bottle_glass_green",1.53133333333333,"bottle","green","64","glass","green","[230, 'yes']","list1"
0,"yes","material","chair_wood_green",1.53133333333333,"chair","wood","65","wood","green","[183, 'yes']","list1"
0,"yes","color","cup_metal_blue",1.53133333333333,"cup","blue","66","metal","blue","[146, 'yes']","list1"
0,"yes","color","jacket_leather_purple",1.53133333333333,"jacket","purple","67","leather","purple","[242, 'no']","list1"
0,"yes","material","chair_metal_green",1.53133333333333,"chair","metal","68","metal","green","[29, 'no']","list1"
0,"yes","material","spoon_plastic_blue",1.53133333333333,"spoon","plastic","69","plastic","blue","[299, 'no']","list1"
0,"no","color","pitcher_glass_clear_original",1.53133333333333,"pitcher","white","70","glass","clear","[31, 'no']","list1"
0,"no","material","jacket_leather_green",1.53133333333333,"jacket","rubber","71","leather","green","[6, 'no']","list1"
0,"no","color","chair_metal_purple",1.53133333333333,"chair","blue","72","metal","purple","[7, 'yes']","list1"
0,"no","color","box_wood_green",1.53133333333333,"box","blue","73","wood","green","[219, 'yes']","list1"
0,"no","color","box_cardboard_green",1.53133333333333,"box","white","74","cardboard","green","[185, 'yes']","list1"
0,"yes","material","plate_paper_white_original",1.53133333333333,"plate","paper","75","paper","white","[128, 'yes']","list1"
0,"no","material","boot_rubber_black_original",1.53133333333333,"boot","wood","76","rubber","black","[185, 'yes']","list1"
0,"no","material","plate_paper_green",1.53133333333333,"plate","wood","77","paper","green","[154, 'yes']","list1"
0,"yes","material","table_metal_silver_original",1.53133333333333,"table","metal","78","metal","silver","[193, 'yes']","list1"
0,"yes","color","spoon_metal_silver_original",1.53133333333333,"spoon","silver","79","metal","silver","[188, 'no']","list1"
0,"no","material","bottle_glass_clear_original",1.53133333333333,"bottle","plastic","80","glass","clear","[5, 'no']","list1"
0,"no","color","table_wood_green",1.53133333333333,"table","clear","81","wood","green","[5, 'no']","list1"
0,"yes","color","spoon_wood_green",1.53133333333333,"spoon","green","82","wood","green","[5, 'yes']","list1"
0,"yes","color","bowl_metal_silver_original",1.53133333333333,"bowl","silver","83","metal","silver","[215, 'yes']","list1"
0,"yes","material","bottle_plastic_blue",1.53133333333333,"bottle","plastic","84","plastic","blue","[205, 'yes']","list1"
0,"no","color","chair_plastic_purple",1.53133333333333,"chair","black","85","plastic","purple","[166, 'no']","list1"
0,"yes","material","spoon_metal_green",1.53133333333333,"spoon","metal","86","metal","green","[3, 'yes']","list1"
0,"yes","color","table_metal_green",1.53133333333333,"table","green","87","metal","green","[202, 'yes']","list1"
0,"yes","material","bag_paper_brown_original",1.53133333333333,"bag","paper","88","paper","brown","[228, 'no']","list1"
0,"yes","color","chair_wood_purple",1.53133333333333,"chair","purple","89","wood","purple","[10, 'yes']","list1"
0,"no","material","box_cardboard_brown_original",1.53133333333333,"box","leather","90","cardboard","brown","[157, 'no']","list1"
1,"Sarah","","",5.00401666666667,"","","bot_check","","","[0, 'Sarah']","list1"
1,"no","material","p_ball_metal_original",5.00401666666667,"ball","glass","practice_trial","metal","silver","['late', '']","list1"
1,"yes","color","p_door_wood_yellow",5.00401666666667,"door","yellow","practice_trial","wood","yellow","['late', 'no']","list1"
1,"no","color","p_ruler_metal_blue",5.00401666666667,"bag","red","practice_trial","metal","blue","[1827, 'no']","list1"
1,"yes","material","p_ball_plastic_red",5.00401666666667,"ball","plastic","practice_trial","plastic","red","[1311, 'no']","list1"
1,"yes","color","pitcher_metal_blue",5.00401666666667,"pitcher","blue","10","metal","blue","['late', 'no']","list1"
1,"yes","material","table_metal_silver_original",5.00401666666667,"table","metal","11","metal","silver","['late', 'no']","list1"
1,"no","material","bowl_glass_clear_original",5.00401666666667,"bowl","paper","12","glass","clear","[1736, 'no']","list1"
1,"yes","color","cup_plastic_green",5.00401666666667,"cup","green","13","plastic","green","[1513, 'yes']","list1"
1,"yes","material","jacket_denim_green",5.00401666666667,"jacket","denim","14","denim","green","['late', 'no']","list1"
1,"no","color","plate_plastic_blue_original",5.00401666666667,"plate","black","15","plastic","blue","[1734, 'no']","list1"
1,"no","color","plate_paper_blue",5.00401666666667,"plate","red","16","paper","blue","[1322, 'no']","list1"
1,"no","material","table_wood_blue",5.00401666666667,"table","glass","17","wood","blue","[1274, 'no']","list1"
1,"no","material","bowl_metal_green",5.00401666666667,"bowl","denim","18","metal","green","[1999, 'no']","list1"
1,"yes","material","bowl_glass_blue",5.00401666666667,"bowl","glass","19","glass","blue","[1321, 'no']","list1"
1,"no","color","spoon_plastic_green",5.00401666666667,"spoon","silver","20","plastic","green","[1177, 'no']","list1"
1,"no","material","bottle_glass_clear_original",5.00401666666667,"bottle","leather","21","glass","clear","[1276, 'no']","list1"
1,"yes","color","bag_paper_blue",5.00401666666667,"bag","blue","22","paper","blue","[627, 'no']","list1"
1,"no","color","cup_plastic_blue",5.00401666666667,"cup","clear","23","plastic","blue","[1316, 'no']","list1"
1,"no","color","pitcher_plastic_blue",5.00401666666667,"pitcher","yellow","24","plastic","blue","[1546, 'no']","list1"
1,"yes","color","bowl_glass_green",5.00401666666667,"bowl","green","25","glass","green","[1652, 'no']","list1"
1,"yes","material","pitcher_metal_green",5.00401666666667,"pitcher","metal","26","metal","green","[1850, 'no']","list1"
1,"yes","color","table_metal_green",5.00401666666667,"table","green","27","metal","green","[1779, 'yes']","list1"
1,"yes","color","chair_metal_silver_original",5.00401666666667,"chair","silver","28","metal","silver","['late', 'yes']","list1"
1,"yes","material","plate_paper_white_original",5.00401666666667,"plate","paper","29","paper","white","[1204, 'no']","list1"
1,"yes","material","plate_plastic_pink",5.00401666666667,"plate","plastic","30","plastic","pink","[1803, 'yes']","list1"
1,"yes","material","chair_metal_green",5.00401666666667,"chair","metal","31","metal","green","[1227, 'yes']","list1"
1,"yes","material","box_cardboard_blue",5.00401666666667,"box","cardboard","32","cardboard","blue","[1702, 'no']","list1"
1,"yes","color","box_wood_blue",5.00401666666667,"box","blue","33","wood","blue","[1522, 'no']","list1"
1,"no","color","boot_leather_black_original",5.00401666666667,"boot","red","34","leather","black","[1607, 'no']","list1"
1,"no","color","bowl_metal_blue",5.00401666666667,"bowl","red","35","metal","blue","[1554, 'no']","list1"
1,"yes","material","boot_leather_green",5.00401666666667,"boot","leather","36","leather","green","[1684, 'no']","list1"
1,"no","color","bottle_plastic_clear_original",5.00401666666667,"bottle","silver","37","plastic","clear","[550, 'no']","list1"
1,"yes","color","jacket_denim_purple",5.00401666666667,"jacket","purple","38","denim","purple","[1251, 'no']","list1"
1,"yes","color","spoon_metal_silver_original",5.00401666666667,"spoon","silver","39","metal","silver","[1314, 'no']","list1"
1,"no","material","plate_paper_green",5.00401666666667,"plate","plastic","40","paper","green","[1075, 'no']","list1"
1,"yes","material","plate_plastic_green",5.00401666666667,"plate","plastic","41","plastic","green","['late', 'yes']","list1"
1,"yes","material","spoon_plastic_blue",5.00401666666667,"spoon","plastic","42","plastic","blue","[1876, 'yes']","list1"
1,"no","color","bottle_glass_blue",5.00401666666667,"bottle","pink","43","glass","blue","[1869, 'no']","list1"
1,"yes","color","bowl_metal_silver_original",5.00401666666667,"bowl","silver","44","metal","silver","[1355, 'yes']","list1"
1,"no","material","spoon_plastic_white_original",5.00401666666667,"spoon","leather","45","plastic","white","[1287, 'no']","list1"
1,"no","color","chair_metal_purple",5.00401666666667,"chair","brown","46","metal","purple","[1197, 'no']","list1"
1,"no","color","box_cardboard_green",5.00401666666667,"box","red","47","cardboard","green","[1845, 'no']","list1"
1,"no","color","chair_plastic_purple",5.00401666666667,"chair","clear","48","plastic","purple","[1536, 'yes']","list1"
1,"no","color","spoon_wood_brown_original",5.00401666666667,"spoon","red","49","wood","brown","[1183, 'no']","list1"
1,"no","color","jacket_leather_black_original",5.00401666666667,"jacket","clear","50","leather","black","[1534, 'no']","list1"
1,"no","material","cup_plastic_clear_original",5.00401666666667,"cup","denim","51","plastic","clear","[1436, 'no']","list1"
1,"yes","color","bag_plastic_green",5.00401666666667,"bag","green","52","plastic","green","[1525, 'yes']","list1"
1,"no","color","box_wood_green",5.00401666666667,"box","brown","53","wood","green","[1591, 'no']","list1"
1,"yes","material","pitcher_plastic_white_original",5.00401666666667,"pitcher","plastic","54","plastic","white","[1193, 'no']","list1"
1,"yes","color","jacket_leather_purple",5.00401666666667,"jacket","purple","55","leather","purple","['late', '']","list1"
1,"yes","material","chair_wood_green",5.00401666666667,"chair","wood","56","wood","green","[1705, 'yes']","list1"
1,"no","material","spoon_metal_blue",5.00401666666667,"spoon","wood","57","metal","blue","[1146, 'no']","list1"
1,"yes","color","cup_metal_blue",5.00401666666667,"cup","blue","58","metal","blue","[1083, 'yes']","list1"
1,"no","material","chair_wood_brown_original",5.00401666666667,"chair","paper","59","wood","brown","['late', 'no']","list1"
1,"no","material","cup_metal_green",5.00401666666667,"cup","leather","60","metal","green","[1441, 'no']","list1"
1,"yes","color","bottle_glass_green",5.00401666666667,"bottle","green","61","glass","green","[1557, 'yes']","list1"
1,"no","material","box_cardboard_brown_original",5.00401666666667,"box","paper","62","cardboard","brown","[1449, 'no']","list1"
1,"no","color","bag_paper_green",5.00401666666667,"bag","red","63","paper","green","['late', 'no']","list1"
1,"no","material","table_wood_brown_original",5.00401666666667,"table","metal","64","wood","brown","[1197, 'no']","list1"
1,"yes","color","chair_wood_purple",5.00401666666667,"chair","purple","65","wood","purple","['late', '']","list1"
1,"yes","material","bottle_plastic_blue",5.00401666666667,"bottle","plastic","66","plastic","blue","[1297, 'yes']","list1"
1,"yes","material","pitcher_glass_green",5.00401666666667,"pitcher","glass","67","glass","green","[1835, 'yes']","list1"
1,"yes","material","spoon_wood_blue",5.00401666666667,"spoon","wood","68","wood","blue","[1675, 'yes']","list1"
1,"yes","material","bag_paper_brown_original",5.00401666666667,"bag","paper","69","paper","brown","['late', 'yes']","list1"
1,"yes","color","pitcher_plastic_green",5.00401666666667,"pitcher","green","70","plastic","green","[1373, 'no']","list1"
1,"no","color","table_wood_green",5.00401666666667,"table","white","71","wood","green","['late', 'no']","list1"
1,"yes","material","spoon_metal_green",5.00401666666667,"spoon","metal","72","metal","green","[1047, 'yes']","list1"
1,"no","material","table_metal_blue",5.00401666666667,"table","cardboard","73","metal","blue","[1790, 'no']","list1"
1,"yes","material","cup_metal_silver_original",5.00401666666667,"cup","metal","74","metal","silver","[1450, 'no']","list1"
1,"no","material","chair_plastic_green",5.00401666666667,"chair","rubber","75","plastic","green","[1582, 'no']","list1"
1,"yes","color","chair_plastic_blue_original",5.00401666666667,"chair","blue","76","plastic","blue","[1997, 'yes']","list1"
1,"no","material","boot_rubber_black_original",5.00401666666667,"boot","paper","77","rubber","black","[1321, 'no']","list1"
1,"yes","color","bottle_plastic_green",5.00401666666667,"bottle","green","78","plastic","green","['late', '']","list1"
1,"no","material","bag_plastic_blue",5.00401666666667,"bag","wood","79","plastic","blue","[1477, 'no']","list1"
1,"no","material","boot_leather_brown",5.00401666666667,"boot","cardboard","80","leather","brown","['late', '']","list1"
1,"no","color","jacket_denim_blue_original",5.00401666666667,"jacket","silver","81","denim","blue","[1558, 'no']","list1"
1,"yes","color","spoon_wood_green",5.00401666666667,"spoon","green","82","wood","green","[1025, 'yes']","list1"
1,"no","color","pitcher_glass_clear_original",5.00401666666667,"pitcher","blue","83","glass","clear","[1170, 'no']","list1"
1,"no","material","box_wood_brown_original",5.00401666666667,"box","cardboard","84","wood","brown","[1355, 'yes']","list1"
1,"no","material","pitcher_glass_blue",5.00401666666667,"pitcher","denim","85","glass","blue","[1359, 'no']","list1"
1,"no","material","pitcher_metal_silver_original",5.00401666666667,"pitcher","rubber","86","metal","silver","[1775, 'no']","list1"
1,"yes","color","boot_rubber_brown",5.00401666666667,"boot","brown","87","rubber","brown","[1233, 'no']","list1"
1,"no","color","bag_plastic_white_original",5.00401666666667,"bag","yellow","88","plastic","white","['late', 'no']","list1"
1,"yes","material","boot_rubber_green",5.00401666666667,"boot","rubber","89","rubber","green","[1560, 'no']","list1"
1,"no","material","jacket_leather_green",5.00401666666667,"jacket","paper","90","leather","green","[1186, 'no']","list1"
2,"Patricia","","",4.16508333333333,"","","bot_check","","","[0, 'patricia']","list1"
2,"no","material","p_ball_metal_original",4.16508333333333,"ball","glass","practice_trial","metal","silver","['late', '']","list1"
2,"yes","color","p_door_wood_yellow",4.16508333333333,"door","yellow","practice_trial","wood","yellow","['late', 'yes']","list1"
2,"no","color","p_ruler_metal_blue",4.16508333333333,"bag","red","practice_trial","metal","blue","[1352, 'no']","list1"
2,"yes","material","p_ball_plastic_red",4.16508333333333,"ball","plastic","practice_trial","plastic","red","[1111, 'no']","list1"
2,"no","color","table_wood_green",4.16508333333333,"table","purple","10","wood","green","[1272, 'no']","list1"
2,"yes","material","box_cardboard_blue",4.16508333333333,"box","cardboard","11","cardboard","blue","[1408, 'yes']","list1"
2,"yes","material","chair_metal_green",4.16508333333333,"chair","metal","12","metal","green","[1520, 'yes']","list1"
2,"yes","color","spoon_wood_green",4.16508333333333,"spoon","green","13","wood","green","[1680, 'no']","list1"
2,"yes","color","pitcher_plastic_green",4.16508333333333,"pitcher","green","14","plastic","green","[1680, 'yes']","list1"
2,"yes","color","bag_paper_blue",4.16508333333333,"bag","blue","15","paper","blue","[1551, 'no']","list1"
2,"yes","color","cup_metal_blue",4.16508333333333,"cup","blue","16","metal","blue","[1560, 'no']","list1"
2,"no","material","chair_plastic_green",4.16508333333333,"chair","paper","17","plastic","green","[1392, 'no']","list1"
2,"yes","material","pitcher_plastic_white_original",4.16508333333333,"pitcher","plastic","18","plastic","white","[1208, 'yes']","list1"
2,"no","material","spoon_metal_blue",4.16508333333333,"spoon","rubber","19","metal","blue","['late', 'no']","list1"
2,"no","material","box_wood_brown_original",4.16508333333333,"box","paper","20","wood","brown","[1184, 'no']","list1"
2,"yes","color","bottle_glass_green",4.16508333333333,"bottle","green","21","glass","green","[1208, 'yes']","list1"
2,"yes","color","box_wood_blue",4.16508333333333,"box","blue","22","wood","blue","[1248, 'no']","list1"
2,"yes","material","spoon_wood_blue",4.16508333333333,"spoon","wood","23","wood","blue","[1352, 'yes']","list1"
2,"no","color","bottle_plastic_clear_original",4.16508333333333,"bottle","green","24","plastic","clear","[1376, 'no']","list1"
2,"yes","material","plate_paper_white_original",4.16508333333333,"plate","paper","25","paper","white","[1144, 'yes']","list1"
2,"yes","color","chair_wood_purple",4.16508333333333,"chair","purple","26","wood","purple","[1128, 'yes']","list1"
2,"yes","color","bottle_plastic_green",4.16508333333333,"bottle","green","27","plastic","green","[960, 'yes']","list1"
2,"no","color","plate_plastic_blue_original",4.16508333333333,"plate","white","28","plastic","blue","[1416, 'no']","list1"
2,"no","color","bag_paper_green",4.16508333333333,"bag","white","29","paper","green","[1312, 'no']","list1"
2,"yes","material","table_metal_silver_original",4.16508333333333,"table","metal","30","metal","silver","[1656, 'yes']","list1"
2,"no","color","spoon_wood_brown_original",4.16508333333333,"spoon","pink","31","wood","brown","[1024, 'no']","list1"
2,"yes","material","cup_metal_silver_original",4.16508333333333,"cup","metal","32","metal","silver","[1312, 'yes']","list1"
2,"no","material","box_cardboard_brown_original",4.16508333333333,"box","leather","33","cardboard","brown","[1048, 'no']","list1"
2,"no","material","table_wood_blue",4.16508333333333,"table","paper","34","wood","blue","[1040, 'no']","list1"
2,"no","material","pitcher_glass_blue",4.16508333333333,"pitcher","rubber","35","glass","blue","[1288, 'no']","list1"
2,"no","color","bowl_metal_blue",4.16508333333333,"bowl","green","36","metal","blue","[985, 'no']","list1"
2,"yes","color","jacket_leather_purple",4.16508333333333,"jacket","purple","37","leather","purple","[1184, 'yes']","list1"
2,"yes","color","cup_plastic_green",4.16508333333333,"cup","green","38","plastic","green","[1208, 'yes']","list1"
2,"no","material","jacket_leather_green",4.16508333333333,"jacket","cardboard","39","leather","green","[1192, 'no']","list1"
2,"yes","material","pitcher_metal_green",4.16508333333333,"pitcher","metal","40","metal","green","[1088, 'yes']","list1"
2,"yes","color","bowl_metal_silver_original",4.16508333333333,"bowl","silver","41","metal","silver","[1222, 'yes']","list1"
2,"no","material","spoon_plastic_white_original",4.16508333333333,"spoon","paper","42","plastic","white","[1064, 'no']","list1"
2,"yes","color","pitcher_metal_blue",4.16508333333333,"pitcher","blue","43","metal","blue","[1048, 'no']","list1"
2,"yes","color","boot_rubber_brown",4.16508333333333,"boot","brown","44","rubber","brown","[1127, 'yes']","list1"
2,"no","material","bottle_glass_clear_original",4.16508333333333,"bottle","wood","45","glass","clear","[1128, 'no']","list1"
2,"no","color","bag_plastic_white_original",4.16508333333333,"bag","green","46","plastic","white","[1112, 'no']","list1"
2,"no","material","chair_wood_brown_original",4.16508333333333,"chair","denim","47","wood","brown","[1192, 'no']","list1"
2,"no","color","pitcher_plastic_blue",4.16508333333333,"pitcher","pink","48","plastic","blue","[864, 'no']","list1"
2,"no","color","boot_leather_black_original",4.16508333333333,"boot","pink","49","leather","black","[895, 'no']","list1"
2,"yes","material","bowl_glass_blue",4.16508333333333,"bowl","glass","50","glass","blue","[1960, 'no']","list1"
2,"no","color","jacket_denim_blue_original",4.16508333333333,"jacket","silver","51","denim","blue","[959, 'no']","list1"
2,"no","color","box_wood_green",4.16508333333333,"box","white","52","wood","green","['late', 'no']","list1"
2,"yes","color","bowl_glass_green",4.16508333333333,"bowl","green","53","glass","green","[1192, 'yes']","list1"
2,"yes","material","bag_paper_brown_original",4.16508333333333,"bag","paper","54","paper","brown","[1224, 'yes']","list1"
2,"no","color","spoon_plastic_green",4.16508333333333,"spoon","blue","55","plastic","green","[1167, 'no']","list1"
2,"yes","material","plate_plastic_green",4.16508333333333,"plate","plastic","56","plastic","green","[1536, 'yes']","list1"
2,"no","material","plate_paper_green",4.16508333333333,"plate","rubber","57","paper","green","[1248, 'no']","list1"
2,"no","color","jacket_leather_black_original",4.16508333333333,"jacket","red","58","leather","black","[1064, 'no']","list1"
2,"yes","material","spoon_plastic_blue",4.16508333333333,"spoon","plastic","59","plastic","blue","[944, 'yes']","list1"
2,"yes","material","chair_wood_green",4.16508333333333,"chair","wood","60","wood","green","[1040, 'yes']","list1"
2,"no","material","bowl_glass_clear_original",4.16508333333333,"bowl","cardboard","61","glass","clear","[1785, 'no']","list1"
2,"yes","material","spoon_metal_green",4.16508333333333,"spoon","metal","62","metal","green","[840, 'yes']","list1"
2,"yes","color","chair_plastic_blue_original",4.16508333333333,"chair","blue","63","plastic","blue","[1232, 'no']","list1"
2,"no","material","bowl_metal_green",4.16508333333333,"bowl","rubber","64","metal","green","[985, 'no']","list1"
2,"no","color","plate_paper_blue",4.16508333333333,"plate","black","65","paper","blue","['late', '']","list1"
2,"yes","color","chair_metal_silver_original",4.16508333333333,"chair","silver","66","metal","silver","[1288, 'no']","list1"
2,"no","material","bag_plastic_blue",4.16508333333333,"bag","wood","67","plastic","blue","[1128, 'no']","list1"
2,"yes","color","jacket_denim_purple",4.16508333333333,"jacket","purple","68","denim","purple","[920, 'yes']","list1"
2,"no","material","table_metal_blue",4.16508333333333,"table","denim","69","metal","blue","[1192, 'no']","list1"
2,"yes","material","plate_plastic_pink",4.16508333333333,"plate","plastic","70","plastic","pink","[1144, 'yes']","list1"
2,"no","color","cup_plastic_blue",4.16508333333333,"cup","red","71","plastic","blue","[1408, 'no']","list1"
2,"yes","material","pitcher_glass_green",4.16508333333333,"pitcher","glass","72","glass","green","[1287, 'no']","list1"
2,"no","color","box_cardboard_green",4.16508333333333,"box","red","73","cardboard","green","[999, 'no']","list1"
2,"no","color","bottle_glass_blue",4.16508333333333,"bottle","brown","74","glass","blue","[1104, 'no']","list1"
2,"yes","color","table_metal_green",4.16508333333333,"table","green","75","metal","green","[879, 'no']","list1"
2,"yes","color","bag_plastic_green",4.16508333333333,"bag","green","76","plastic","green","[896, 'no']","list1"
2,"no","color","pitcher_glass_clear_original",4.16508333333333,"pitcher","white","77","glass","clear","[1256, 'no']","list1"
2,"yes","material","bottle_plastic_blue",4.16508333333333,"bottle","plastic","78","plastic","blue","[984, 'no']","list1"
2,"yes","material","jacket_denim_green",4.16508333333333,"jacket","denim","79","denim","green","[1224, 'yes']","list1"
2,"no","material","boot_rubber_black_original",4.16508333333333,"boot","wood","80","rubber","black","[936, 'no']","list1"
2,"no","material","cup_plastic_clear_original",4.16508333333333,"cup","glass","81","plastic","clear","[968, 'yes']","list1"
2,"no","material","cup_metal_green",4.16508333333333,"cup","rubber","82","metal","green","[928, 'no']","list1"
2,"no","material","table_wood_brown_original",4.16508333333333,"table","denim","83","wood","brown","[776, 'no']","list1"
2,"no","color","chair_metal_purple",4.16508333333333,"chair","yellow","84","metal","purple","[1144, 'no']","list1"
2,"no","material","pitcher_metal_silver_original",4.16508333333333,"pitcher","leather","85","metal","silver","[1144, 'no']","list1"
2,"yes","material","boot_rubber_green",4.16508333333333,"boot","rubber","86","rubber","green","[1552, 'yes']","list1"
2,"no","color","chair_plastic_purple",4.16508333333333,"chair","clear","87","plastic","purple","[1535, 'yes']","list1"
2,"no","material","boot_leather_brown",4.16508333333333,"boot","rubber","88","leather","brown","[1679, 'yes']","list1"
2,"yes","material","boot_leather_green",4.16508333333333,"boot","leather","89","leather","green","[904, 'yes']","list1"
